roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,3784,0.951903,0.890592,0.972516,191136.853239,84,64,4058.916405,231.832811,0.534070,69.411371,0.703869,1.921611,3.919529,1.150005,75.775130,64.063369,89.240275,243.929978,0.933999,11898809.339935,59.125000,64,84,0.932269,18327.129993,86.400017,64.000000,0.162582,0.000731,0.000042,0.000001,0.000000,-0.000000,-0.000000,1,1.974529,0.634872,0.701660,-0.420457,3784,191136.853239,4058.916405,231.832811,75.775130,64.063369,243.929978,18327.129993,68.375659,89.616015,7.008542,0.067076,3.164923,0.009174,0.016125,0.016939,0.014624,0.014014,0.011020,0.009972,0.010524,0.012246,0.015338,0.015174,0.018299,0.021984,0.015165,0.022678,0.024259,0.024712,0.023832,0.022415,0.023936,0.029899,0.041128,0.038783,0.048649,0.039854,0.037199,0.039459,0.027456,0.024336,0.019814,0.016350,0.014842,0.017508,0.016656,0.012010,0.017419,0.021067,0.013120,0.016435,0.016101,0.019555,0.022204,0.019456,0.017455,0.017964,0.019284,0.016658,0.013554,0.012527,10.019814,6.513462,1.616310,0.462817,0.242375,0.193158,0.121208,0.076209,0.069018,0.063165,0.042356,0.036723,0.035465,0.028782,0.022947,0.022217,0.020913,0.017465,0.015127,0.015311,0.013725,0.011901,0.011022,0.010999,0.009914,0.008934,0.008716,0.008170,0.007518,0.007682,0.007116,0.006831,0.006643,0.006563,0.006056,0.005948,0.005836,0.005446,0.005299,0.005410,0.005077,0.005090,0.005063,0.005060,0.004881,0.005090,0.004877,0.004477,0.004737,0.004847,0.085077,0.062020,0.678055,0.114327,0.492611,0.063356,0.220383,0.411483,0.226976,0.055162,0.072714,0.717163,0.096533,0.103462,0.293558,0.450222,0.389149,0.130426,0.270745,0.098700,0.747592,0.086666,0.193611,0.346321,0.317361,0.074001,0.294842,0.373463,0.229525,0.150577,0.150245,0.692423,0.103818,0.156400,0.343163,0.360758,0.239777,0.267765,0.321887,0.386861,0.274503,0.442968,0.346209,0.407731,0.244655,0.411271,0.122070,0.262450,0.340753,0.427937,0.461719,0.262853,0.142895,0.380967,0.331153,0.462391,0.321144,0.148912,0.707531,0.104249,0.109394,0.120636,0.115044,0.202094,0.501453,0.673231,0.389774,0.168344,0.130109,0.146561,0.165194,0.092195,0.442620,0.177944,0.536642,0.407753,0.281186,0.175454,0.177829,0.163289,0.387348,0.063595,15.512648,3.408270,2.039710,0.598459,0.950407,0.703869
2,2143,0.779453,0.666824,0.851084,41388.952587,71,62,3119.555279,204.110557,0.800233,52.235547,0.486824,3.848950,5.521337,2.722995,70.421395,42.230915,57.904491,259.314755,0.879443,12320762.384742,24.609560,59,70,0.686957,7030.905336,73.537487,53.969666,0.196555,0.008570,0.000693,0.000042,0.000000,0.000002,-0.000000,1,2.094165,0.673301,0.705998,-0.120258,2143,41388.952587,3119.555279,204.110557,70.421395,42.230915,259.314755,7030.905336,60.877790,89.640224,6.893500,0.053922,0.870933,0.010454,0.013933,0.017171,0.017251,0.018545,0.019113,0.019012,0.019773,0.026276,0.029302,0.025992,0.025793,0.030536,0.019709,0.024934,0.022095,0.022460,0.023852,0.022699,0.023722,0.031937,0.042423,0.032103,0.028508,0.021348,0.023821,0.028149,0.029893,0.040572,0.038997,0.031457,0.020413,0.013227,0.009058,0.008438,0.010177,0.012083,0.009794,0.012927,0.011927,0.013951,0.015345,0.012299,0.011446,0.013216,0.013409,0.013750,0.015126,0.012037,3.685018,3.690688,1.127808,0.304309,0.228822,0.165243,0.115089,0.062301,0.071991,0.049431,0.045575,0.046388,0.040368,0.031648,0.023906,0.021791,0.019524,0.015412,0.016374,0.014581,0.014785,0.012575,0.012150,0.011863,0.010845,0.011451,0.010436,0.008566,0.008719,0.008986,0.008845,0.006929,0.007011,0.007252,0.006645,0.006825,0.006774,0.006468,0.006254,0.006650,0.005798,0.005948,0.006358,0.006509,0.006261,0.005900,0.005660,0.005277,0.005664,0.006056,0.119287,0.056066,0.707605,0.066275,0.513073,0.080138,0.255074,0.321418,0.198723,0.105311,0.064547,0.749395,0.071002,0.151711,0.282096,0.430997,0.323597,0.158240,0.268322,0.090277,0.778666,0.092315,0.197677,0.324046,0.260289,0.089098,0.291955,0.391137,0.318293,0.130115,0.078736,0.719455,0.101619,0.213016,0.269101,0.277196,0.380103,0.362830,0.203608,0.230817,0.304287,0.398302,0.473656,0.310724,0.238764,0.397946,0.135354,0.163992,0.293577,0.440676,0.446370,0.352724,0.124257,0.420643,0.316387,0.524400,0.201577,0.105829,0.740337,0.087169,0.076410,0.069877,0.081549,0.307773,0.618965,0.561433,0.307205,0.175671,0.123605,0.220733,0.104859,0.081964,0.388225,0.203471,0.501968,0.385404,0.297589,0.148927,0.251542,0.126705,0.466160,0.031869,8.264088,2.027671,1.434505,0.707464,0.787115,0.513801
3,2427,0.872990,0.854433,0.900206,96076.710131,82,57,3069.198141,207.396283,0.539750,55.589139,0.519255,2.654549,3.286591,2.219166,61.966248,52.164758,-79.550515,247.728968,0.892237,12357908.759584,42.543860,57,81,0.790760,15362.282100,82.096966,56.392982,0.168888,0.000829,0.000097,0.000000,0.000000,0.000000,-0.000000,1,2.018492,0.653457,0.703649,-0.275528,2427,96076.710131,3069.198141,207.396283,61.966248,52.164758,247.728968,15362.282100,70.548284,87.331273,6.981138,0.071099,3.531704,0.009847,0.006462,0.008645,0.010212,0.011631,0.009477,0.009812,0.014308,0.025517,0.030963,0.025399,0.022211,0.022282,0.012330,0.014793,0.011163,0.011621,0.015705,0.016299,0.018026,0.023409,0.030603,0.031549,0.032760,0.025736,0.031131,0.040823,0.036202,0.037110,0.037601,0.039534,0.042726,0.041377,0.036377,0.029855,0.031485,0.024449,0.014265,0.016451,0.013181,0.014075,0.013395,0.011278,0.009246,0.008492,0.008339,0.008766,0.008064,0.004862,4.657631,4.431887,1.390624,0.313185,0.216073,0.163595,0.116034,0.097393,0.076074,0.053719,0.048158,0.041770,0.032844,0.028830,0.023286,0.018328,0.018591,0.017021,0.015505,0.013993,0.012633,0.011781,0.012189,0.011535,0.010928,0.010189,0.008539,0.008397,0.007974,0.006996,0.007033,0.007607,0.007027,0.006631,0.006874,0.006206,0.005697,0.006190,0.005877,0.005825,0.005910,0.005813,0.005563,0.005802,0.005562,0.005267,0.005413,0.005651,0.005242,0.005683,0.066591,0.074141,0.741274,0.125987,0.479140,0.050142,0.189322,0.341046,0.201156,0.052863,0.149556,0.809596,0.115262,0.087852,0.243995,0.362916,0.294064,0.143785,0.254206,0.173261,0.807032,0.089151,0.113219,0.288260,0.305211,0.066023,0.229532,0.262591,0.288802,0.197910,0.139018,0.676761,0.076283,0.269392,0.347227,0.363567,0.141992,0.320159,0.382130,0.367879,0.244769,0.334459,0.473564,0.379755,0.236063,0.358718,0.209037,0.351326,0.383071,0.298028,0.389094,0.390704,0.207500,0.348612,0.241816,0.533789,0.255121,0.085855,0.699421,0.111114,0.224883,0.101819,0.147169,0.155488,0.502670,0.535428,0.393451,0.219867,0.129153,0.383850,0.237068,0.114428,0.393500,0.112749,0.446754,0.474077,0.259605,0.117855,0.283650,0.262858,0.421034,0.039547,9.796997,1.481003,1.238098,0.835986,0.837190,0.525233
4,3327,0.821600,0.437726,0.829723,77776.360964,103,57,4322.660661,265.321322,0.903213,65.085083,0.566684,4.073722,12.453557,4.263614,103.228306,44.304850,81.431520,307.716775,0.900435,14070932.160643,29.780659,62,105,0.769665,10667.648878,108.845413,56.898996,0.236985,0.026653,0.000758,0.000104,0.000000,0.000017,0.000000,1,2.340885,0.692936,0.669635,0.224925,3327,77776.360964,4322.660661,265.321322,103.228306,44.304850,307.716775,10667.648878,70.218343,98.795011,7.087987,0.070482,3.764210,0.008538,0.008126,0.009538,0.007989,0.009174,0.008326,0.009293,0.010848,0.013782,0.014722,0.014321,0.021104,0.025782,0.016866,0.022410,0.016558,0.014900,0.016825,0.018037,0.019563,0.021415,0.032835,0.038200,0.065017,0.131451,0.059388,0.061989,0.040442,0.033870,0.023048,0.018160,0.016259,0.017933,0.017846,0.012724,0.012243,0.011577,0.006813,0.009374,0.007855,0.009252,0.009289,0.008361,0.008716,0.009625,0.010309,0.009805,0.010951,0.007091,4.640346,2.500550,0.978090,0.247050,0.241594,0.169223,0.132297,0.083873,0.059619,0.061486,0.050967,0.035287,0.036517,0.034722,0.025826,0.021432,0.021658,0.020197,0.019248,0.014163,0.014334,0.014111,0.013633,0.012028,0.010397,0.009926,0.010107,0.009005,0.008720,0.008773,0.008188,0.007383,0.007254,0.007309,0.006501,0.006371,0.006778,0.006176,0.006112,0.005725,0.005478,0.005520,0.005392,0.005517,0.005581,0.005376,0.005424,0.005742,0.005715,0.005391,0.219027,0.267991,0.715612,0.215525,0.391322,0.151248,0.224674,0.194322,0.239596,0.137472,0.279716,0.693743,0.278658,0.168570,0.241990,0.427610,0.224502,0.153960,0.182809,0.260788,0.763133,0.192166,0.153502,0.240267,0.347154,0.154262,0.231658,0.227771,0.549762,0.456152,0.189680,0.517541,0.184641,0.229270,0.180641,0.121205,0.132933,0.474570,0.645028,0.268499,0.130133,0.239423,0.350800,0.226790,0.142150,0.289658,0.401672,0.543554,0.235665,0.099906,0.372006,0.383830,0.199323,0.261424,0.078271,0.532891,0.448222,0.135921,0.656997,0.119756,0.125620,0.142686,0.091626,0.093028,0.506710,0.724622,0.250297,0.083274,0.139781,0.192498,0.267773,0.107856,0.331975,0.351850,0.617327,0.262876,0.088335,0.274699,0.249237,0.284518,0.299106,0.035136,10.811890,2.920892,3.057046,1.046614,0.862226,0.510599
5,15958,0.965994,0.955223,0.973384,1565566.622224,153,148,17236.806211,466.612423,0.334180,142.542473,0.704734,2.108649,2.774550,1.395766,147.025773,138.573155,-60.435542,538.020382,0.958920,29930467.994082,112.450704,142,154,0.925810,80105.500629,155.899765,140.465837,0.163847,0.000008,0.000007,0.000012,0.000000,-0.000000,0.000000,2,1.919056,0.632424,0.701159,-0.474059,16149,1565962.325936,18265.936340,665.872680,269.102978,150.018225,700.133080,80816.912228,63.631978,48.610131,6.386884,0.058619,7.862630,0.018139,0.011244,0.013008,0.012953,0.015091,0.015685,0.019247,0.016481,0.018204,0.019423,0.016010,0.025786,0.033509,0.025388,0.033960,0.027087,0.021876,0.024832,0.019753,0.021108,0.023508,0.039377,0.050945,0.030196,0.023812,0.022098,0.037579,0.031496,0.026407,0.023461,0.019840,0.017753,0.018872,0.015056,0.014841,0.019467,0.018187,0.011862,0.017025,0.012761,0.013099,0.015929,0.015108,0.015937,0.015969,0.017839,0.016059,0.014504,0.010372,27.360689,2.267371,0.647377,0.334757,0.210957,0.119291,0.108398,0.074205,0.063462,0.060117,0.052706,0.040038,0.032070,0.031990,0.030572,0.026420,0.023529,0.021391,0.018062,0.016965,0.016002,0.014705,0.014402,0.013984,0.012227,0.011351,0.011263,0.011301,0.009726,0.010230,0.009926,0.008830,0.007896,0.008184,0.008082,0.007736,0.007699,0.007264,0.006801,0.007014,0.006972,0.006802,0.006274,0.006572,0.006374,0.006664,0.006168,0.006198,0.006140,0.006199,0.195736,0.095650,0.549198,0.162506,0.455481,0.089545,0.214298,0.499002,0.337792,0.062435,0.126371,0.618342,0.121750,0.076971,0.186031,0.558307,0.471519,0.091614,0.278145,0.150712,0.565146,0.103393,0.308608,0.445277,0.470518,0.105629,0.209249,0.483783,0.360464,0.159082,0.141013,0.599592,0.151960,0.152948,0.173364,0.393416,0.203620,0.554521,0.505397,0.361538,0.221983,0.233695,0.296793,0.237022,0.129432,0.337665,0.136331,0.297383,0.525734,0.518494,0.293232,0.147333,0.138125,0.327042,0.347830,0.585936,0.297996,0.122798,0.568556,0.175146,0.200113,0.128963,0.145612,0.147867,0.579369,0.669891,0.243536,0.158124,0.141804,0.230355,0.172130,0.081231,0.307579,0.178499,0.579865,0.524373,0.269489,0.114968,0.178499,0.213311,0.314828,0.055129,29.660586,1.987832,1.315795,0.661924,0.951066,0.730199
6,1565,0.815857,0.728261,0.814578,52132.373892,72,47,2134.964611,180.929221,0.682071,44.638771,0.462470,3.817953,4.432875,3.792913,55.057465,40.262742,58.918626,212.137085,0.862740,10159575.049853,31.918367,49,66,0.733033,8126.163446,72.337276,42.704265,0.185681,0.003168,0.000339,0.000142,0.000000,0.000002,-0.000000,1,2.262875,0.668974,0.697708,0.017471,1565,52132.373892,2134.964611,180.929221,55.057465,40.262742,212.137085,8126.163446,70.111648,112.677955,6.921749,0.070283,1.085807,0.010184,0.010290,0.013264,0.015069,0.019106,0.020246,0.022758,0.023015,0.028370,0.027188,0.022100,0.023174,0.020649,0.010181,0.012465,0.012580,0.017578,0.018813,0.016502,0.016386,0.019053,0.023002,0.021582,0.027795,0.023498,0.029138,0.034756,0.028500,0.026859,0.024206,0.022850,0.025388,0.029105,0.029837,0.028204,0.032335,0.037074,0.026925,0.029879,0.023056,0.020999,0.016583,0.013542,0.010564,0.008546,0.009335,0.008786,0.010167,0.008703,2.562085,3.537283,1.772548,0.464553,0.221370,0.138062,0.113255,0.085104,0.077206,0.056191,0.055323,0.045829,0.038666,0.026479,0.023635,0.019259,0.017905,0.015230,0.014843,0.014978,0.015293,0.013066,0.011202,0.011103,0.012251,0.011508,0.010414,0.009388,0.009622,0.008924,0.008152,0.007942,0.007900,0.007635,0.006757,0.006710,0.007077,0.007052,0.006640,0.006812,0.006298,0.006010,0.005931,0.006207,0.006640,0.007346,0.007344,0.006308,0.006741,0.006746,0.072773,0.081747,0.772034,0.144935,0.457421,0.079221,0.277790,0.223044,0.168969,0.107872,0.133898,0.779350,0.108692,0.071006,0.238414,0.464638,0.212681,0.168015,0.295257,0.157778,0.807469,0.064268,0.088420,0.253689,0.313310,0.100867,0.226448,0.297413,0.430293,0.147420,0.129316,0.687956,0.172198,0.276349,0.179623,0.276345,0.294926,0.426825,0.300248,0.241744,0.215234,0.408139,0.508914,0.187964,0.273902,0.404545,0.184447,0.334322,0.274002,0.276347,0.402865,0.428111,0.173453,0.404277,0.275970,0.531793,0.134163,0.097336,0.744274,0.190635,0.098404,0.079143,0.085599,0.270753,0.693030,0.386863,0.323603,0.231119,0.231764,0.230479,0.129065,0.122919,0.389771,0.353090,0.447222,0.356716,0.270791,0.178293,0.290022,0.182302,0.416759,0.034776,7.377305,1.168726,1.161061,0.993441,0.852888,0.483612
7,1963,0.701933,0.740590,0.675483,64130.639835,62,62,2932.812732,191.625464,0.482932,49.993692,0.510666,2.946755,2.821148,3.100410,58.843280,51.526566,-7.327338,311.776695,0.826833,16555754.672818,32.766667,60,63,0.669323,12660.088916,65.213740,56.989583,0.194677,0.000660,0.000935,0.000025,0.000000,0.000001,0.000000,1,1.977442,0.668861,0.698228,-0.195461,1963,64130.639835,2932.812732,191.625464,58.843280,51.526566,311.776695,12660.088916,69.117225,89.047886,6.933017,0.068439,3.503757,0.010331,0.015256,0.018113,0.016853,0.017465,0.014429,0.015148,0.020402,0.030601,0.035200,0.028961,0.041777,0.050991,0.031866,0.040415,0.033920,0.041801,0.042297,0.031228,0.029476,0.031416,0.027629,0.024110,0.023021,0.015057,0.013951,0.016659,0.015889,0.014005,0.009993,0.008972,0.010580,0.011223,0.011248,0.009604,0.010186,0.012666,0.010328,0.016533,0.013459,0.017895,0.020546,0.016422,0.013736,0.013687,0.015412,0.014308,0.014296,0.010971,2.454402,2.508363,0.826729,0.206338,0.221721,0.174432,0.108673,0.107935,0.084283,0.054826,0.042940,0.027518,0.027391,0.022070,0.019961,0.019577,0.020136,0.015831,0.015160,0.013214,0.014331,0.011028,0.011222,0.009832,0.009875,0.009929,0.010249,0.008663,0.007938,0.008294,0.007189,0.007173,0.006652,0.005820,0.006089,0.005670,0.005686,0.006299,0.006123,0.005633,0.006070,0.005726,0.005297,0.005633,0.005603,0.005565,0.005138,0.005718,0.005270,0.005561,0.065878,0.071374,0.716959,0.110646,0.514155,0.074532,0.155991,0.332926,0.243328,0.070697,0.088588,0.776542,0.093421,0.159997,0.298632,0.322235,0.333873,0.212885,0.303688,0.110618,0.781004,0.077310,0.168748,0.310422,0.248148,0.065150,0.298216,0.339544,0.123089,0.155528,0.256856,0.688666,0.092412,0.130820,0.271386,0.453684,0.302591,0.113493,0.176257,0.463607,0.405886,0.365356,0.248382,0.289624,0.453602,0.489939,0.097259,0.106941,0.342425,0.444587,0.393315,0.226318,0.111334,0.453694,0.368570,0.318442,0.263702,0.256035,0.732645,0.100008,0.103918,0.101201,0.244632,0.325645,0.316281,0.408693,0.644601,0.290698,0.105755,0.113409,0.145261,0.285881,0.458866,0.103622,0.267317,0.545311,0.311659,0.106342,0.119844,0.151949,0.513799,0.020194,6.296173,0.909927,0.957374,1.052144,0.614624,0.520106
8,1488,0.524035,0.099526,0.435342,12319.448415,96,60,3170.640541,241.281081,0.960249,43.526778,0.258333,3.000546,9.628679,2.712801,112.143702,31.304254,54.827331,403.232539,0.710815,20264625.357680,10.580998,43,106,0.469306,5226.984923,110.143211,42.328022,0.569013,0.236922,0.003469,0.001434,0.000003,0.000528,-0.000001,1,3.002820,0.819289,0.735538,0.680267,1488,12319.448415,3170.640541,241.281081,112.143702,31.304254,403.232539,5226.984923,73.581036,101.830645,6.596401,0.076863,2.103485,0.014573,0.009846,0.012470,0.011724,0.013066,0.011038,0.010051,0.009384,0.011363,0.009952,0.008469,0.011994,0.018423,0.015503,0.019832,0.018980,0.026544,0.029319,0.030079,0.033017,0.034742,0.039410,0.035414,0.029616,0.025269,0.019544,0.027918,0.033192,0.037706,0.024722,0.016490,0.018876,0.019353,0.024227,0.023882,0.025091,0.034184,0.024761,0.026347,0.020456,0.027876,0.028560,0.023738,0.018398,0.013199,0.010572,0.008407,0.009238,0.007762,0.854311,0.865528,0.599220,0.308184,0.256643,0.150037,0.119961,0.083308,0.056798,0.046139,0.042420,0.031161,0.028742,0.026839,0.030482,0.024836,0.022076,0.020039,0.017196,0.017967,0.017076,0.013331,0.012747,0.011546,0.010431,0.011230,0.011706,0.009663,0.009489,0.009602,0.008218,0.007932,0.008325,0.007951,0.008453,0.007482,0.007812,0.007152,0.006083,0.006160,0.006306,0.006030,0.006519,0.006322,0.005978,0.006517,0.006869,0.006596,0.006433,0.006403,0.224870,0.121015,0.744986,0.083889,0.469669,0.136042,0.337395,0.119415,0.074534,0.157507,0.131518,0.822723,0.073032,0.076187,0.271748,0.425026,0.110525,0.056328,0.266712,0.105538,0.855951,0.085708,0.088281,0.230783,0.172319,0.087519,0.281637,0.454010,0.378431,0.124301,0.096703,0.699393,0.158059,0.288380,0.134059,0.102919,0.360568,0.415785,0.247995,0.172933,0.167079,0.504552,0.539684,0.142828,0.107508,0.472631,0.168451,0.238540,0.198561,0.222602,0.557965,0.382068,0.121459,0.360985,0.249972,0.459093,0.160243,0.105183,0.797335,0.102685,0.124781,0.132790,0.102540,0.235124,0.541832,0.594200,0.241760,0.153597,0.251438,0.312420,0.208641,0.107983,0.424369,0.252585,0.552870,0.242497,0.178544,0.339291,0.294080,0.191511,0.348547,0.009151,3.690178,3.549349,3.208976,0.904103,0.598367,0.324046
9,467,0.886510,0.903640,0.903640,7963.937377,30,23,508.813540,80.627080,0.437033,24.384480,0.676812,1.830625,0.940415,1.185023,26.110633,23.485089,89.416234,85.012193,0.794151,5271196.273286,20.304348,23,30,0.917821,2231.333054,30.364183,23.000000,0.164705,0.000302,0.000126,0.000010,0.000000,0.000000,0.000000,1,1.988405,0.621811,0.687448,-0.414591,467,7963.937377,508.813540,80.627080,26.110633,23.485089,85.012193,2231.333054,68.506831,106.638116,6.442888,0.067317,-0.004133,0.015319,0.009015,0.012402,0.011776,0.013550,0.012487,0.012935,0.015686,0.021303,0.026419,0.023417,0.026911,0.033293,0.021982,0.031229,0.025692,0.030982,0.033770,0.030659,0.027930,0.029226,0.039653,0.035907,0.041466,0.030213,0.030078,0.042815,0.038243,0.039002,0.030241,0.026227,0.022325,0.020746,0.016129,0.011310,0.011082,0.011395,0.007412,0.008216,0.007358,0.008473,0.007950,0.007858,0.008706,0.009156,0.010055,0.009232,0.009822,0.008267,0.509847,1.153521,1.393296,0.982655,0.585885,0.208301,0.076558,0.090447,0.094213,0.059089,0.036924,0.033947,0.039562,0.028912,0.020903,0.019071,0.020649,0.016174,0.011230,0.011535,0.014057,0.011766,0.008168,0.006837,0.008364,0.008713,0.006746,0.004874,0.005661,0.007063,0.006801,0.005166,0.004766,0.005245,0.004941,0.003997,0.004080,0.004535,0.004155,0.003552,0.003522,0.003965,0.003997,0.003559,0.003289,0.003631,0.004130,0.004211,0.003598,0.003324,0.029183,0.031209,0.844478,0.080353,0.429889,0.042159,0.132605,0.209918,0.174185,0.020669,0.027559,0.915550,0.043261,0.122817,0.179928,0.192552,0.209715,0.173761,0.215072,0.072655,0.917606,0.040944,0.129846,0.185254,0.115248,0.035052,0.197729,0.124840,0.415264,0.166699,0.089414,0.744069,0.060863,0.139932,0.277544,0.349613,0.128529,0.496417,0.256356,0.357354,0.363860,0.333695,0.212665,0.312061,0.396574,0.399100,0.074785,0.145826,0.384347,0.404763,0.382971,0.141735,0.063703,0.575749,0.135156,0.480854,0.242851,0.086030,0.808963,0.062692,0.053670,0.075842,0.130947,0.174821,0.669583,0.465896,0.438022,0.237700,0.109396,0.088583,0.093453,0.164681,0.544601,0.102970,0.262291,0.421967,0.252742,0.125316,0.103307,0.096288,0.588577,0.064618,5.493330,0.793584,0.513712,0.647332,0.948418,0.676812
10,2585,0.942769,0.718097,0.943542,124650.804312,76,47,2665.289413,190.578825,0.785164,57.370064,0.723684,1.579994,7.505153,1.289670,73.129412,45.288114,85.712035,201.237590,0.921011,10144069.656159,55.021277,47,76,0.969876,13536.060044,76.419892,47.000000,0.178822,0.006349,0.000058,0.000006,0.000000,0.000000,-0.000000,1,2.171588,0.639309,0.694061,-0.205517,2585,124650.804312,2665.289413,190.578825,73.129412,45.288114,201.237590,13536.060044,70.825855,110.719149,6.966789,0.071619,1.579343,0.009812,0.006560,0.008800,0.008859,0.010780,0.009127,0.008395,0.008016,0.008640,0.007957,0.006908,0.008676,0.012558,0.010074,0.018564,0.021900,0.034594,0.045133,0.045400,0.050521,0.047902,0.046061,0.036785,0.034383,0.022710,0.021538,0.029380,0.029599,0.035115,0.037591,0.038021,0.036173,0.043155,0.038800,0.027858,0.023557,0.019935,0.010408,0.011234,0.008707,0.008728,0.008134,0.008091,0.008454,0.008115,0.008189,0.007293,0.007187,0.005437,6.163710,5.715185,2.150727,0.490666,0.299126,0.182962,0.141717,0.077842,0.072487,0.057516,0.048424,0.033113,0.034415,0.028221,0.024117,0.018827,0.019815,0.016677,0.014043,0.013143,0.012275,0.011479,0.010174,0.010157,0.009349,0.008602,0.007671,0.007465,0.007377,0.006964,0.006498,0.006399,0.005914,0.005695,0.005423,0.005272,0.005331,0.004676,0.004763,0.004653,0.005061,0.004590,0.004464,0.004868,0.004893,0.004342,0.004276,0.004613,0.004243,0.004326,0.061102,0.195124,0.811881,0.117958,0.384692,0.047395,0.214576,0.287839,0.077461,0.078445,0.254950,0.810227,0.076173,0.042507,0.250572,0.356435,0.266887,0.060892,0.288402,0.181774,0.807420,0.064035,0.064460,0.334784,0.256516,0.068928,0.202400,0.188857,0.425181,0.337204,0.119391,0.542656,0.144271,0.293060,0.485374,0.137223,0.189189,0.423690,0.468572,0.227999,0.096640,0.376227,0.351024,0.474655,0.117257,0.392839,0.216473,0.388985,0.340899,0.185790,0.518559,0.259152,0.244360,0.317807,0.203637,0.418642,0.288683,0.093404,0.675315,0.202333,0.267139,0.329377,0.119855,0.195028,0.368831,0.623904,0.287100,0.129692,0.188948,0.298638,0.444269,0.123136,0.370366,0.110065,0.555530,0.389590,0.194221,0.178132,0.199429,0.327547,0.416901,0.063833,12.845513,5.819436,4.750115,0.816250,0.947034,0.723964
