roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,539,0.940410,0.864060,0.938547,10288.454141,30,24,571.161532,84.323064,0.559353,26.196872,0.748611,1.299175,1.616843,0.763543,28.939974,23.989206,82.534947,87.840620,0.811466,5630781.297954,22.375000,24,31,0.943691,2573.419961,31.304050,24.000000,0.163542,0.000920,0.000044,0.000001,0.000000,0.000000,-0.000000,1,1.979751,0.619800,0.679642,-0.402470,539,10288.454141,571.161532,84.323064,28.939974,23.989206,87.840620,2573.419961,61.857791,116.846011,6.218715,0.055575,-1.106318,0.018143,0.013940,0.016084,0.015128,0.014980,0.012862,0.012006,0.010902,0.011053,0.011184,0.009545,0.011483,0.016509,0.012203,0.021033,0.019239,0.027577,0.032938,0.032838,0.035312,0.042652,0.056107,0.047029,0.047685,0.027533,0.024070,0.036408,0.030782,0.030219,0.020641,0.019373,0.020309,0.021974,0.021202,0.019329,0.020617,0.022758,0.014935,0.018459,0.014460,0.014653,0.013006,0.010984,0.011268,0.011216,0.012563,0.011514,0.012147,0.009296,0.615822,1.364943,1.560227,1.014223,0.577045,0.226277,0.098219,0.085275,0.076834,0.056493,0.042831,0.030449,0.030839,0.027523,0.022530,0.017713,0.017807,0.015214,0.011106,0.010731,0.012855,0.011200,0.008356,0.007814,0.008860,0.008272,0.006958,0.006179,0.006139,0.006156,0.005655,0.005085,0.005015,0.005132,0.005049,0.004334,0.004000,0.004190,0.004568,0.004394,0.003645,0.003259,0.003591,0.003753,0.003514,0.003520,0.003678,0.003386,0.003020,0.003667,0.030881,0.031367,0.859170,0.059276,0.428614,0.049867,0.142617,0.179575,0.132626,0.034851,0.031539,0.924142,0.029426,0.054234,0.204694,0.219847,0.181200,0.129912,0.225309,0.064941,0.913754,0.035891,0.066782,0.209076,0.117787,0.043043,0.211855,0.213701,0.258483,0.121985,0.057046,0.803075,0.059815,0.200676,0.293261,0.307572,0.240669,0.316550,0.270778,0.231897,0.381646,0.440102,0.357979,0.340276,0.362619,0.465101,0.069697,0.247719,0.239260,0.410198,0.475718,0.212211,0.072673,0.464029,0.228032,0.411709,0.234437,0.081768,0.830115,0.066891,0.072064,0.047517,0.125819,0.276066,0.533813,0.591230,0.313568,0.374738,0.105273,0.094244,0.065351,0.162124,0.516627,0.097076,0.383204,0.298110,0.374695,0.113359,0.113088,0.093143,0.559680,0.069855,6.136113,2.117553,1.244515,0.587714,0.959955,0.721774
2,11004,0.927266,0.903900,0.866988,902705.625782,156,120,13667.811587,435.623174,0.472855,118.366921,0.587821,3.539260,6.995312,5.397127,128.444302,113.177444,-69.694394,566.144228,0.948784,26189337.913680,88.701613,124,160,0.805103,60353.129999,164.124683,118.397243,0.166442,0.000439,0.000026,0.000001,-0.000000,-0.000000,0.000000,1,2.002756,0.659454,0.718578,-0.340765,11004,902705.625782,13667.811587,435.623174,128.444302,113.177444,566.144228,60353.129999,58.145040,44.982824,6.240923,0.049423,5.852538,0.021306,0.022459,0.026621,0.020704,0.025392,0.029617,0.031298,0.024471,0.021774,0.016631,0.013635,0.017563,0.026472,0.017151,0.023940,0.023989,0.022250,0.017541,0.016677,0.016533,0.017104,0.024209,0.023562,0.032877,0.030925,0.040600,0.049340,0.034791,0.022112,0.013012,0.011767,0.010995,0.019861,0.021836,0.019251,0.018015,0.017330,0.011812,0.014740,0.011221,0.010627,0.010214,0.011776,0.014258,0.017396,0.018925,0.017458,0.020150,0.019119,20.991383,3.092196,0.714563,0.258747,0.230956,0.150665,0.116892,0.100027,0.073227,0.053333,0.047863,0.031278,0.031095,0.027897,0.027690,0.023554,0.022968,0.021421,0.017791,0.015078,0.014376,0.012102,0.012319,0.011870,0.010880,0.011250,0.009980,0.008221,0.008756,0.008563,0.007651,0.007467,0.006978,0.006806,0.006844,0.006083,0.006030,0.006382,0.005880,0.005781,0.006346,0.006542,0.005985,0.005934,0.005603,0.005323,0.005411,0.005480,0.005619,0.006014,0.089679,0.097789,0.631413,0.104893,0.456747,0.085125,0.299278,0.347585,0.382704,0.069805,0.086031,0.619121,0.083979,0.077128,0.143659,0.635070,0.310209,0.266892,0.263614,0.095866,0.637590,0.117679,0.287950,0.313690,0.505170,0.089334,0.237600,0.224374,0.245919,0.177499,0.099342,0.583696,0.096647,0.153523,0.203424,0.657885,0.245185,0.295020,0.283452,0.209221,0.242401,0.259393,0.306520,0.301530,0.646382,0.340843,0.095206,0.131194,0.190156,0.782126,0.280862,0.144503,0.093192,0.318150,0.298927,0.478777,0.465340,0.116026,0.554985,0.092436,0.129505,0.129330,0.318370,0.176782,0.366529,0.862116,0.193678,0.091694,0.106350,0.133600,0.094906,0.084114,0.286818,0.115568,0.642130,0.376568,0.458745,0.134296,0.144000,0.117582,0.295298,0.034332,19.436743,1.296118,1.976490,1.524931,0.769456,0.554385
3,1944,0.915849,0.917398,0.941662,66399.655129,74,57,2599.518184,205.036369,0.518266,49.751158,0.460882,2.877150,2.815765,2.804331,55.777096,47.701664,-50.779820,206.095454,0.894712,9875862.061385,37.980392,51,76,0.747831,12085.472183,84.999781,49.789431,0.173089,0.000721,0.000428,0.000159,0.000000,0.000004,0.000000,1,2.446742,0.704207,0.737701,0.055015,1944,66399.655129,2599.518184,205.036369,55.777096,47.701664,206.095454,12085.472183,65.301054,99.099794,6.770522,0.061542,2.120184,0.010991,0.017857,0.021351,0.019829,0.022353,0.017951,0.016808,0.019409,0.023456,0.024123,0.021456,0.021082,0.027066,0.019628,0.027749,0.024502,0.025192,0.021829,0.020824,0.023661,0.025507,0.047029,0.043405,0.036031,0.025112,0.027950,0.033364,0.032414,0.027654,0.017815,0.012041,0.010231,0.009630,0.010022,0.009062,0.009501,0.011626,0.008993,0.011821,0.010368,0.015589,0.018392,0.018383,0.019138,0.020578,0.021087,0.018378,0.018831,0.013919,4.030585,4.676205,1.935427,0.485042,0.256932,0.155430,0.134767,0.072414,0.066581,0.051576,0.050183,0.030041,0.034429,0.027887,0.025238,0.020188,0.018969,0.018628,0.015909,0.013784,0.014151,0.012677,0.011931,0.011699,0.011253,0.010385,0.009734,0.008804,0.008258,0.008884,0.008373,0.008618,0.008483,0.007909,0.007569,0.007719,0.007500,0.007188,0.007023,0.007484,0.007053,0.006814,0.006582,0.007019,0.006865,0.006791,0.006677,0.006992,0.006526,0.006792,0.078461,0.078407,0.752230,0.100731,0.527215,0.068182,0.192359,0.243855,0.180628,0.105752,0.099270,0.785115,0.117678,0.177436,0.216745,0.391976,0.276431,0.200463,0.344522,0.114984,0.780387,0.105507,0.172768,0.219775,0.274259,0.123789,0.281522,0.404679,0.184576,0.094637,0.164368,0.770787,0.111114,0.163656,0.240653,0.273927,0.437086,0.200662,0.147049,0.463877,0.366394,0.290946,0.330417,0.339792,0.297245,0.448612,0.119181,0.145257,0.434938,0.369116,0.299526,0.284536,0.214466,0.470481,0.353691,0.418106,0.164867,0.143292,0.772683,0.123904,0.138599,0.115329,0.086444,0.397982,0.454390,0.426171,0.529176,0.232957,0.131298,0.171996,0.233243,0.134152,0.476125,0.110800,0.390907,0.533871,0.216553,0.109954,0.133538,0.234199,0.437645,0.045768,9.432522,1.004077,0.978665,0.974691,0.994861,0.499742
4,2412,0.944398,0.764730,0.947718,105863.687545,66,50,2586.343182,182.686364,0.709403,55.417089,0.730909,1.433296,5.565624,1.104895,66.274251,46.710277,82.506178,195.923882,0.915638,9994773.599428,50.208333,48,66,0.932591,12119.514848,66.610250,48.530483,0.170279,0.003278,0.000002,0.000000,0.000000,0.000000,0.000000,1,2.037607,0.630646,0.689261,-0.315931,2412,105863.687545,2586.343182,182.686364,66.274251,46.710277,195.923882,12119.514848,70.876724,87.116501,6.994550,0.071715,3.614645,0.009782,0.011936,0.017774,0.017953,0.019896,0.018861,0.021499,0.022985,0.022933,0.020754,0.016568,0.017916,0.020781,0.014260,0.017620,0.017070,0.022733,0.019002,0.018599,0.022608,0.029668,0.040107,0.037587,0.042631,0.032150,0.031045,0.037534,0.034028,0.032389,0.027581,0.022391,0.019968,0.019614,0.016600,0.014964,0.015740,0.016249,0.011319,0.015188,0.014903,0.016855,0.018916,0.017900,0.014574,0.013108,0.013263,0.011174,0.011621,0.009185,5.538403,5.615629,2.121019,0.475285,0.287210,0.183997,0.133938,0.079985,0.073524,0.060547,0.047944,0.035904,0.033428,0.028802,0.024628,0.019471,0.019906,0.018676,0.013837,0.013517,0.013319,0.011290,0.009666,0.010195,0.009235,0.008382,0.007871,0.007385,0.007635,0.006565,0.006524,0.005938,0.005949,0.005398,0.005457,0.005098,0.004920,0.005104,0.004683,0.004752,0.004416,0.004856,0.004590,0.004293,0.004568,0.004373,0.004436,0.004681,0.004925,0.004670,0.069649,0.066185,0.744796,0.098868,0.453304,0.070103,0.241078,0.348569,0.190404,0.063535,0.099287,0.735464,0.079278,0.114396,0.163696,0.533239,0.311425,0.133039,0.268877,0.134534,0.777268,0.068792,0.152457,0.188057,0.424770,0.066564,0.239284,0.303706,0.239356,0.231129,0.116397,0.600698,0.099004,0.282983,0.470775,0.333396,0.197007,0.218641,0.253148,0.235359,0.231291,0.258765,0.668579,0.421517,0.220852,0.339019,0.117355,0.137232,0.280412,0.363033,0.350692,0.620667,0.113657,0.347714,0.304379,0.471781,0.401916,0.102564,0.655250,0.110421,0.158323,0.152409,0.151258,0.212497,0.471577,0.695003,0.333951,0.162127,0.148307,0.213724,0.171920,0.119961,0.413443,0.178444,0.529684,0.447062,0.268707,0.224659,0.201921,0.147046,0.362933,0.062835,12.310904,5.037244,3.883094,0.770877,0.932435,0.760732
5,3395,0.895140,0.695729,0.891605,92745.342763,117,59,4550.075260,277.150519,0.815996,65.746850,0.491815,5.209307,11.558458,4.716498,89.377323,51.665275,85.764506,316.462987,0.909364,14790614.751198,34.796216,58,118,0.746142,11055.422349,120.299927,58.275465,0.196143,0.009583,0.000146,0.000072,0.000000,0.000003,-0.000000,1,2.397049,0.731662,0.745903,0.169844,3395,92745.342763,4550.075260,277.150519,89.377323,51.665275,316.462987,11055.422349,57.885694,68.666863,6.708952,0.049005,3.276253,0.012019,0.006985,0.008922,0.008231,0.011051,0.010746,0.011241,0.012548,0.014640,0.014196,0.014986,0.017550,0.016949,0.013010,0.023291,0.026102,0.041847,0.054824,0.051366,0.041600,0.030689,0.032861,0.030097,0.034263,0.025743,0.024870,0.026853,0.024313,0.031291,0.036464,0.035157,0.032267,0.023845,0.018353,0.016222,0.016926,0.020565,0.015699,0.017884,0.015284,0.014618,0.013715,0.011759,0.011049,0.009719,0.009276,0.007627,0.007184,0.005319,6.490119,4.542388,1.398700,0.399701,0.236662,0.156869,0.101987,0.078715,0.066514,0.057465,0.042985,0.037760,0.033020,0.027776,0.026052,0.022180,0.017714,0.019123,0.017951,0.015177,0.016107,0.014230,0.013014,0.011786,0.011830,0.010477,0.010281,0.008975,0.009307,0.008677,0.008218,0.007981,0.008427,0.007809,0.007803,0.007645,0.007476,0.006668,0.006479,0.006484,0.006558,0.006133,0.005935,0.006394,0.006464,0.006473,0.006297,0.006344,0.005976,0.006178,0.070297,0.065805,0.733080,0.084081,0.400191,0.066061,0.238602,0.460860,0.111405,0.061802,0.078841,0.730972,0.091611,0.068190,0.215411,0.491473,0.384913,0.080601,0.226528,0.100235,0.781355,0.091649,0.088007,0.286691,0.405636,0.084403,0.241082,0.273983,0.245237,0.247650,0.127185,0.553937,0.100898,0.305223,0.560523,0.250820,0.151250,0.199876,0.343655,0.327257,0.132838,0.304812,0.607536,0.458389,0.148993,0.276862,0.121697,0.263980,0.422503,0.238838,0.423570,0.541683,0.143798,0.331343,0.248769,0.576835,0.424075,0.133110,0.562670,0.092570,0.190713,0.147508,0.156587,0.127198,0.476699,0.724515,0.342781,0.113515,0.130850,0.227571,0.149831,0.099555,0.332292,0.164017,0.643313,0.451789,0.212444,0.169830,0.221693,0.145567,0.316864,0.033900,10.727953,2.450644,2.218809,0.905398,0.875775,0.496055
6,2072,0.808285,0.686898,0.754335,37102.540682,69,58,3186.159566,201.319131,0.666121,51.362947,0.517741,3.518899,3.889502,3.658530,64.369355,48.009487,-76.379378,326.462987,0.839736,15522272.069661,22.819559,60,68,0.650313,6965.654569,70.934630,58.000000,0.194414,0.003072,0.000037,0.000061,-0.000000,0.000003,-0.000000,1,2.012350,0.679499,0.717992,-0.189042,2072,37102.540682,3186.159566,201.319131,64.369355,48.009487,326.462987,6965.654569,70.371341,81.561293,6.602060,0.070768,4.225664,0.013692,0.010219,0.013309,0.015264,0.016783,0.013476,0.017202,0.022434,0.035716,0.041744,0.037388,0.044432,0.049739,0.035219,0.043369,0.035012,0.030484,0.020625,0.014245,0.016485,0.020128,0.025615,0.025523,0.028794,0.024437,0.015890,0.018954,0.016366,0.018762,0.020582,0.021003,0.016601,0.017349,0.016227,0.015991,0.020498,0.021352,0.011950,0.019283,0.015905,0.015894,0.013059,0.010028,0.010061,0.009554,0.010597,0.008677,0.009240,0.008534,2.787556,2.661634,1.016091,0.259348,0.165544,0.164847,0.116082,0.080304,0.070745,0.048780,0.038929,0.032392,0.029176,0.021120,0.018810,0.018942,0.020595,0.016603,0.013553,0.014680,0.014084,0.012512,0.011639,0.013593,0.014932,0.012795,0.011862,0.011298,0.010511,0.008705,0.008042,0.009311,0.009813,0.008559,0.009069,0.008493,0.008077,0.008110,0.006769,0.008762,0.008969,0.007973,0.008340,0.008596,0.007494,0.006587,0.007437,0.007532,0.007147,0.008312,0.054770,0.063615,0.779558,0.093431,0.506509,0.076116,0.106371,0.272989,0.168312,0.063966,0.080004,0.811077,0.094857,0.094469,0.152872,0.363194,0.359419,0.171106,0.247388,0.101323,0.789557,0.087539,0.133035,0.221425,0.344179,0.173137,0.286891,0.304682,0.115908,0.143117,0.123190,0.750925,0.129342,0.172817,0.335811,0.367180,0.335445,0.146235,0.295268,0.281984,0.198463,0.286915,0.399175,0.512823,0.394153,0.388348,0.126111,0.235524,0.369235,0.359323,0.353689,0.326138,0.271434,0.455218,0.372156,0.347569,0.241511,0.140325,0.754386,0.126140,0.145807,0.113234,0.208768,0.362051,0.381140,0.668758,0.367350,0.139941,0.159135,0.176154,0.166052,0.194822,0.356975,0.145514,0.563019,0.492043,0.260503,0.133557,0.139452,0.185171,0.390975,0.019441,6.346814,1.063133,1.105318,1.039680,0.616668,0.508824
7,2496,0.697115,0.442708,0.710737,43018.537821,108,48,3539.292259,247.584518,0.937331,56.373805,0.481481,4.551303,12.083301,4.502877,104.702498,36.482630,86.305482,322.977705,0.867911,16189862.215782,21.965116,47,108,0.705226,8152.587893,108.166005,45.117447,0.307709,0.058120,0.005982,0.003439,0.000016,0.000804,0.000001,1,2.608541,0.730959,0.692720,0.441312,2496,43018.537821,3539.292259,247.584518,104.702498,36.482630,322.977705,8152.587893,72.439676,84.031651,6.911232,0.074674,3.584891,0.011960,0.006241,0.009097,0.009902,0.013459,0.012258,0.011734,0.011966,0.014771,0.015257,0.016530,0.022807,0.023916,0.014192,0.023545,0.035012,0.042084,0.034253,0.026306,0.023752,0.022491,0.039161,0.040242,0.040144,0.020746,0.022699,0.032226,0.040396,0.047176,0.030862,0.028297,0.037493,0.037983,0.029016,0.020667,0.018891,0.017100,0.009884,0.011639,0.010736,0.012277,0.010019,0.009114,0.008255,0.007673,0.007536,0.007206,0.007280,0.005710,3.045172,2.748205,1.388508,0.492058,0.308941,0.165833,0.116421,0.085882,0.063114,0.056114,0.041964,0.032494,0.036710,0.030397,0.024512,0.019463,0.016217,0.017435,0.015482,0.015086,0.014841,0.014152,0.012294,0.010492,0.010112,0.009956,0.008577,0.007967,0.008277,0.008458,0.007988,0.006783,0.006266,0.006959,0.006756,0.005897,0.005935,0.005710,0.005831,0.005646,0.005258,0.006135,0.005957,0.005885,0.005932,0.005658,0.005691,0.005166,0.004798,0.004921,0.047113,0.060305,0.749191,0.082154,0.362659,0.072096,0.228871,0.481413,0.072431,0.038498,0.062849,0.701942,0.054137,0.047086,0.130834,0.524371,0.449361,0.051862,0.207830,0.087204,0.782387,0.057957,0.077335,0.208333,0.484454,0.128583,0.181936,0.082297,0.521885,0.321811,0.073969,0.438757,0.062324,0.259665,0.584660,0.078635,0.077546,0.521774,0.339871,0.108574,0.051871,0.144106,0.561066,0.503436,0.052315,0.314681,0.209383,0.294261,0.303400,0.202834,0.349107,0.641287,0.159302,0.280798,0.118035,0.672500,0.402886,0.095411,0.571344,0.083451,0.116035,0.094141,0.081639,0.109247,0.727279,0.637691,0.136809,0.076431,0.085280,0.106564,0.077381,0.057482,0.356103,0.367143,0.632852,0.356176,0.210942,0.180427,0.130017,0.110349,0.323885,0.023928,7.728088,2.683462,2.654910,0.989360,0.766568,0.491726
8,10959,0.931746,0.870791,0.926453,897542.810954,149,129,13495.772271,424.544541,0.428314,118.124647,0.570158,3.180095,5.227397,3.925414,126.291962,114.121220,-12.731824,641.168614,0.943118,28263264.763199,76.636364,143,128,0.812032,59901.962426,156.540725,121.588656,0.165222,0.000278,0.000037,0.000000,0.000000,-0.000000,-0.000000,1,1.844514,0.648351,0.719405,-0.327709,10959,897542.810954,13495.772271,424.544541,126.291962,114.121220,641.168614,59901.962426,58.520173,42.636463,6.248565,0.050031,6.341178,0.021050,0.017752,0.023644,0.024607,0.025413,0.022177,0.021509,0.020713,0.022888,0.022410,0.019145,0.016668,0.025231,0.027330,0.037074,0.028541,0.031647,0.029220,0.028806,0.021301,0.020544,0.021034,0.022373,0.026094,0.021846,0.019093,0.021571,0.018368,0.017642,0.014677,0.013967,0.014484,0.025771,0.025422,0.021057,0.022365,0.022461,0.011547,0.015313,0.014567,0.014444,0.012765,0.013847,0.018838,0.018932,0.018604,0.015523,0.016030,0.014745,19.067433,2.324408,0.518250,0.269089,0.210999,0.123176,0.108879,0.076813,0.080002,0.062943,0.046853,0.040033,0.034471,0.030878,0.027463,0.023161,0.022034,0.019124,0.020358,0.019752,0.017819,0.013686,0.012660,0.012105,0.011756,0.010947,0.010507,0.010359,0.009944,0.009468,0.009031,0.008046,0.008430,0.007754,0.006914,0.006548,0.006684,0.006852,0.006988,0.006877,0.006966,0.006584,0.006150,0.006358,0.005924,0.005835,0.005506,0.005739,0.006169,0.006707,0.084430,0.075247,0.589024,0.110492,0.488529,0.083249,0.254754,0.468413,0.313287,0.047838,0.111327,0.631911,0.088818,0.091319,0.335111,0.521893,0.417091,0.105550,0.298070,0.138936,0.610066,0.094722,0.225021,0.486458,0.383287,0.087738,0.262327,0.400037,0.193690,0.136905,0.095643,0.636478,0.086564,0.138774,0.283562,0.512153,0.167723,0.182099,0.276641,0.441565,0.266759,0.574253,0.284267,0.359085,0.237739,0.375279,0.081162,0.130941,0.392367,0.548527,0.473429,0.127025,0.090816,0.363428,0.384555,0.604062,0.279233,0.099108,0.565713,0.110119,0.171491,0.120852,0.152518,0.182991,0.562291,0.578395,0.475539,0.119215,0.116478,0.187152,0.145151,0.076095,0.345799,0.095208,0.416579,0.626208,0.366480,0.112657,0.114662,0.145946,0.352472,0.026658,17.092228,1.331680,1.643787,1.234370,0.662142,0.598722
9,2921,0.883482,0.876628,0.905415,123935.044786,90,62,3788.813478,234.626955,0.466889,60.984692,0.523477,3.073214,3.830870,3.002309,66.230523,58.568715,-78.583371,269.350288,0.905492,13055592.321432,47.064516,62,91,0.770954,16836.966571,93.404487,61.915031,0.167197,0.000418,0.000122,0.000012,0.000000,0.000000,-0.000000,1,2.119122,0.656075,0.701846,-0.202052,2921,123935.044786,3788.813478,234.626955,66.230523,58.568715,269.350288,16836.966571,57.379186,102.225265,6.724473,0.048192,0.395019,0.010671,0.009190,0.012413,0.010523,0.010077,0.007609,0.009850,0.015056,0.017284,0.015220,0.013075,0.018343,0.020874,0.013898,0.019379,0.021879,0.023117,0.021704,0.024856,0.035216,0.043895,0.048971,0.039393,0.033589,0.021771,0.017133,0.020198,0.024773,0.030799,0.026176,0.026986,0.035395,0.042513,0.038322,0.025455,0.020730,0.020442,0.014878,0.020982,0.015634,0.013879,0.013481,0.013765,0.014427,0.012661,0.012895,0.011549,0.012038,0.007705,6.148889,4.996868,1.392940,0.387751,0.203572,0.130429,0.144878,0.081520,0.076944,0.064721,0.048223,0.035869,0.032186,0.026046,0.023714,0.021224,0.019476,0.017232,0.016268,0.014313,0.012764,0.012044,0.011364,0.010345,0.010556,0.009512,0.009618,0.009082,0.007824,0.007633,0.007390,0.007856,0.007619,0.006742,0.007472,0.006455,0.006526,0.006449,0.006222,0.006285,0.006454,0.006409,0.006499,0.006697,0.005944,0.005891,0.005902,0.006277,0.006068,0.005769,0.129162,0.126650,0.720470,0.126865,0.491718,0.152527,0.149806,0.327791,0.192781,0.142634,0.213061,0.731642,0.133343,0.154397,0.311822,0.308222,0.344609,0.215294,0.335897,0.184537,0.747155,0.110311,0.154744,0.305478,0.268620,0.119377,0.281139,0.323603,0.286791,0.237638,0.217116,0.647202,0.287143,0.239055,0.220379,0.319975,0.377714,0.380414,0.290972,0.288398,0.259707,0.435706,0.365245,0.256898,0.296801,0.486309,0.266933,0.226109,0.253245,0.366743,0.379016,0.299497,0.190827,0.415601,0.287311,0.423684,0.303993,0.192206,0.682264,0.217043,0.217304,0.127642,0.180230,0.357229,0.447481,0.507454,0.367383,0.182203,0.281808,0.326341,0.178168,0.169738,0.472663,0.215808,0.411051,0.353184,0.292537,0.213072,0.256065,0.191246,0.450767,0.040262,10.844614,1.275975,1.246535,0.976928,0.871085,0.517192
10,13621,0.937564,0.908877,0.940352,1250858.887148,161,137,16040.977301,459.954602,0.445102,131.692049,0.617536,4.348453,5.528421,4.032742,140.241226,125.583218,-42.087641,580.706674,0.957433,26267032.496651,94.652778,145,150,0.849138,69559.189758,164.222399,129.205849,0.162599,0.000320,0.000032,0.000001,-0.000000,-0.000000,-0.000000,1,1.884867,0.638943,0.701606,-0.372568,13621,1250858.887148,16040.977301,459.954602,140.241226,125.583218,580.706674,69559.189758,58.078629,48.041774,6.428690,0.049316,5.232251,0.017941,0.008605,0.011857,0.009808,0.014376,0.013742,0.015544,0.013749,0.014455,0.012035,0.012471,0.016254,0.015771,0.015598,0.021552,0.020632,0.030525,0.046566,0.045693,0.040901,0.036587,0.039104,0.035935,0.040692,0.028837,0.030159,0.031292,0.022580,0.018037,0.016573,0.014111,0.012957,0.014721,0.017195,0.015320,0.012032,0.014574,0.010507,0.015701,0.017371,0.020009,0.024324,0.025877,0.022093,0.021823,0.024996,0.016689,0.012360,0.007409,26.696803,2.806048,0.750873,0.264461,0.235010,0.152580,0.115831,0.094651,0.075331,0.059680,0.046208,0.039605,0.034899,0.029007,0.027377,0.023152,0.023472,0.019618,0.016516,0.015387,0.013993,0.012048,0.011785,0.010208,0.009499,0.009383,0.009327,0.008138,0.008420,0.007463,0.007665,0.007010,0.006829,0.006693,0.006994,0.006201,0.006230,0.006085,0.005808,0.005636,0.005841,0.005737,0.005670,0.005814,0.005399,0.005315,0.005658,0.005362,0.005536,0.005416,0.134056,0.082228,0.574127,0.083727,0.476057,0.089653,0.192259,0.511193,0.325092,0.065199,0.091873,0.639886,0.092401,0.124408,0.287255,0.418037,0.535725,0.097808,0.284794,0.119173,0.618384,0.105480,0.371774,0.394606,0.335225,0.165553,0.278300,0.379094,0.142224,0.122982,0.101477,0.621363,0.099326,0.144087,0.203509,0.593719,0.159101,0.264030,0.373040,0.366624,0.340680,0.443542,0.417266,0.299750,0.233769,0.362549,0.109269,0.159605,0.267202,0.714614,0.332950,0.149168,0.091759,0.327945,0.340690,0.526421,0.374768,0.113976,0.590829,0.087296,0.097709,0.098375,0.278288,0.089404,0.432300,0.786878,0.363419,0.109409,0.123985,0.127669,0.081787,0.059498,0.355874,0.113557,0.523215,0.485765,0.398542,0.185159,0.134485,0.099011,0.360177,0.040392,23.455904,1.370884,1.271354,0.927397,0.792060,0.626667
