roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,602,0.375421,0.473064,0.454545,4307.636611,44,39,1348.306641,132.613282,0.525977,27.685560,0.350816,2.654673,2.725567,2.885066,42.743460,36.353270,-43.506484,196.545202,0.639065,10806529.388246,9.155323,40,45,0.446486,2117.130929,49.516678,38.946552,0.326343,0.002745,0.000329,0.003916,0.000002,-0.000075,0.000004,1,2.162090,0.759086,0.766219,-0.074528,602,4307.636611,1348.306641,132.613282,42.743460,36.353270,196.545202,2117.130929,63.047950,68.358804,6.202469,0.057609,3.634245,0.022864,0.006379,0.006727,0.007374,0.010988,0.012560,0.016661,0.020797,0.026714,0.026156,0.023037,0.028085,0.033609,0.024209,0.030239,0.024378,0.027994,0.036539,0.040826,0.044124,0.045014,0.044306,0.032888,0.032096,0.024081,0.022632,0.027254,0.025202,0.027730,0.021393,0.017219,0.016176,0.016989,0.018019,0.017671,0.020332,0.022637,0.015863,0.015131,0.012461,0.011715,0.011184,0.009878,0.008707,0.008302,0.008467,0.007813,0.006788,0.004653,0.397420,0.625131,0.458407,0.275907,0.258553,0.184840,0.096479,0.061434,0.080178,0.070243,0.052264,0.039574,0.028606,0.021099,0.027980,0.026716,0.019374,0.015014,0.013208,0.013041,0.015821,0.014045,0.012097,0.010217,0.009672,0.008413,0.008168,0.007753,0.008176,0.007783,0.007831,0.007159,0.006302,0.005900,0.005804,0.005436,0.005637,0.006227,0.006155,0.005775,0.005686,0.005547,0.005185,0.005547,0.005360,0.005203,0.005486,0.005579,0.005470,0.005540,0.066733,0.087454,0.790582,0.061446,0.504638,0.063945,0.139775,0.257586,0.120269,0.073145,0.107152,0.837570,0.044408,0.129233,0.229491,0.305753,0.322333,0.113664,0.305327,0.099635,0.808769,0.058751,0.168952,0.246700,0.241481,0.110663,0.281641,0.207442,0.407117,0.158660,0.053570,0.736866,0.057783,0.153965,0.367624,0.240864,0.220053,0.461653,0.287677,0.346651,0.326516,0.307253,0.268430,0.451973,0.241193,0.461265,0.111269,0.226078,0.392381,0.419702,0.364069,0.198374,0.140033,0.449576,0.189623,0.465873,0.228302,0.074084,0.782371,0.069247,0.113643,0.206635,0.129924,0.194064,0.544263,0.567904,0.453214,0.216515,0.090168,0.134429,0.220404,0.128599,0.449258,0.101284,0.429843,0.500825,0.271281,0.127065,0.112289,0.086176,0.492484,0.015584,3.062909,0.944715,1.026705,1.086788,0.674722,0.330000
2,2302,0.929284,0.784382,0.927549,98115.211064,65,46,2391.354809,176.709619,0.698170,54.138687,0.769900,1.837391,5.571924,1.851495,64.257805,46.004203,-83.685490,186.610173,0.915802,9656326.098532,50.108696,46,65,0.962634,11238.826646,65.764087,46.000000,0.169492,0.002983,0.000085,0.000002,0.000000,0.000000,0.000000,1,2.078237,0.635624,0.702144,-0.366945,2302,98115.211064,2391.354809,176.709619,64.257805,46.004203,186.610173,11238.826646,75.898101,98.235882,7.079152,0.081380,3.691260,0.008855,0.010788,0.014113,0.014649,0.014944,0.011637,0.011460,0.012859,0.015824,0.018420,0.017825,0.021637,0.029026,0.019426,0.027000,0.020995,0.026349,0.027172,0.028134,0.031656,0.034366,0.046071,0.048743,0.053353,0.034800,0.028204,0.032746,0.031420,0.030943,0.028516,0.024346,0.020891,0.021205,0.017640,0.012911,0.014445,0.014337,0.008341,0.010776,0.010185,0.012179,0.011553,0.010542,0.011437,0.012397,0.013513,0.011925,0.010622,0.007682,5.335448,5.504611,2.190491,0.482597,0.293138,0.192757,0.135014,0.079377,0.074328,0.058580,0.044969,0.035248,0.032893,0.027881,0.021311,0.020737,0.018869,0.015700,0.013984,0.013103,0.012746,0.010597,0.009980,0.009665,0.009251,0.007550,0.007855,0.007460,0.007044,0.006733,0.007131,0.006544,0.005753,0.005542,0.006167,0.005164,0.005502,0.005344,0.005132,0.004657,0.004876,0.004791,0.004657,0.004398,0.004556,0.004479,0.004005,0.004357,0.004588,0.004302,0.062913,0.133806,0.775530,0.118316,0.436382,0.060318,0.214176,0.291579,0.194254,0.054222,0.202014,0.805536,0.127709,0.082330,0.149349,0.431249,0.228807,0.153751,0.218429,0.200850,0.824534,0.105150,0.111051,0.194245,0.355528,0.035133,0.208172,0.306432,0.350035,0.236160,0.142193,0.611528,0.179986,0.239992,0.350096,0.347935,0.225153,0.355559,0.420382,0.366975,0.149755,0.294588,0.465161,0.328570,0.279195,0.288052,0.215212,0.385332,0.451633,0.225954,0.330724,0.448782,0.161128,0.361183,0.286285,0.473857,0.303874,0.084736,0.661233,0.201777,0.249986,0.181658,0.143327,0.234197,0.407306,0.552874,0.321901,0.105741,0.200388,0.467939,0.277399,0.150695,0.330872,0.090117,0.462989,0.429484,0.145005,0.148530,0.414517,0.259304,0.448816,0.066105,12.335876,3.009419,3.032520,1.007676,0.946945,0.770903
3,2919,0.794634,0.529068,0.754042,62295.496582,89,47,3665.290354,239.580709,0.875819,60.963811,0.697825,3.299024,10.757103,3.902987,93.647003,45.197704,80.542590,333.971609,0.883525,16289391.561912,27.189811,48,91,0.796390,9385.023554,95.461479,46.048942,0.231434,0.020731,0.000160,0.000175,0.000000,0.000024,0.000000,1,2.226310,0.677282,0.658787,0.217481,2919,62295.496582,3665.290354,239.580709,93.647003,45.197704,333.971609,9385.023554,75.102648,113.097979,7.232428,0.079819,0.883936,0.008220,0.014308,0.018773,0.017066,0.016996,0.013669,0.012245,0.010253,0.009908,0.010013,0.008699,0.010002,0.010734,0.007143,0.010591,0.010339,0.012947,0.016552,0.020151,0.028670,0.038748,0.051616,0.050051,0.068151,0.068597,0.036335,0.045800,0.035988,0.035894,0.037802,0.036609,0.032475,0.024271,0.016760,0.012134,0.013243,0.012023,0.008793,0.010211,0.008643,0.009014,0.008426,0.008440,0.009021,0.010735,0.013176,0.013148,0.012984,0.011854,4.285842,3.375033,1.214140,0.352749,0.344180,0.150003,0.115559,0.079140,0.076620,0.068866,0.060728,0.041242,0.031712,0.032147,0.029127,0.019368,0.017490,0.016816,0.013868,0.015048,0.014766,0.013010,0.014077,0.011034,0.009699,0.009571,0.009315,0.007869,0.007134,0.006668,0.007371,0.007667,0.007202,0.006751,0.006389,0.006770,0.006108,0.006280,0.006197,0.005827,0.005828,0.004963,0.005423,0.005064,0.004877,0.005022,0.004464,0.004949,0.005073,0.005042,0.102673,0.091647,0.773410,0.109553,0.410202,0.062888,0.402913,0.159131,0.104938,0.067021,0.142102,0.754481,0.073051,0.051950,0.084924,0.603415,0.143946,0.077425,0.237301,0.180924,0.824793,0.085244,0.070465,0.121929,0.380519,0.073956,0.230883,0.242506,0.221384,0.182227,0.119567,0.586249,0.124627,0.599179,0.268118,0.233565,0.147432,0.279492,0.244057,0.107860,0.081743,0.215336,0.836083,0.252619,0.114221,0.348080,0.263984,0.235809,0.159913,0.232475,0.342839,0.644843,0.161045,0.338574,0.183208,0.378842,0.517091,0.112297,0.626582,0.157440,0.263961,0.168371,0.165839,0.113528,0.364355,0.788671,0.092023,0.072244,0.205793,0.355744,0.209673,0.076157,0.328006,0.203010,0.648485,0.161085,0.216073,0.274914,0.310571,0.230158,0.364724,0.026171,8.740264,2.756121,3.260692,1.183073,0.717368,0.665522
4,4047,0.939214,0.907833,0.945639,204211.376465,86,72,4541.576248,242.152497,0.458958,71.783009,0.653585,1.842909,2.868777,1.537269,76.683914,68.130441,-88.438015,279.113744,0.928804,13518443.318912,56.208333,72,86,0.891100,21228.989376,86.469639,70.449757,0.162460,0.000366,0.000017,0.000000,0.000000,0.000000,0.000000,1,1.938896,0.636491,0.701126,-0.424516,4047,204211.376465,4541.576248,242.152497,76.683914,68.130441,279.113744,21228.989376,49.518335,55.953052,6.426457,0.036339,2.616298,0.015475,0.012969,0.017317,0.017626,0.019099,0.016440,0.017275,0.019383,0.019128,0.016709,0.015691,0.026074,0.032209,0.020868,0.025793,0.017013,0.018641,0.016840,0.016862,0.018649,0.020025,0.024017,0.027224,0.038491,0.033091,0.036800,0.041112,0.029273,0.027837,0.020992,0.018938,0.020330,0.022767,0.025883,0.027576,0.030644,0.028124,0.018059,0.021264,0.016492,0.017334,0.012366,0.010732,0.010956,0.009947,0.010603,0.010870,0.011998,0.011668,10.137283,5.584576,1.199271,0.326871,0.237515,0.174556,0.116092,0.094664,0.080878,0.047709,0.044628,0.039233,0.035342,0.030764,0.027969,0.020112,0.017734,0.017318,0.015455,0.013108,0.013400,0.012002,0.010647,0.010341,0.010896,0.009468,0.009649,0.008793,0.008779,0.008421,0.007976,0.006989,0.006249,0.006363,0.006473,0.005888,0.005661,0.005897,0.005621,0.006087,0.005909,0.005365,0.005470,0.005351,0.005095,0.005382,0.005603,0.005037,0.004901,0.005215,0.107796,0.084812,0.675338,0.101589,0.485388,0.064301,0.286969,0.362016,0.248278,0.083046,0.104306,0.696868,0.102639,0.153893,0.366897,0.460844,0.302038,0.155443,0.277890,0.105803,0.729836,0.083793,0.196134,0.424154,0.286207,0.081724,0.254818,0.377947,0.274778,0.168323,0.141278,0.670804,0.114826,0.152621,0.300388,0.395817,0.276270,0.277690,0.241969,0.452091,0.358595,0.481737,0.246666,0.283583,0.285835,0.404358,0.129095,0.154428,0.407213,0.454252,0.469321,0.176939,0.122063,0.396665,0.317008,0.498417,0.395037,0.103620,0.637122,0.124732,0.132138,0.129739,0.168878,0.199023,0.443282,0.663741,0.445564,0.172880,0.139009,0.183046,0.157929,0.130966,0.384505,0.168332,0.502529,0.530823,0.279796,0.137466,0.192852,0.155631,0.361821,0.051948,14.499465,1.866151,1.556656,0.834153,0.867576,0.653585
5,2659,0.934235,0.826757,0.936490,116813.054240,82,58,3181.845600,211.691200,0.651601,58.185427,0.559083,2.693290,5.773865,2.198245,67.603551,51.281487,56.989054,225.444697,0.914030,10772348.202927,49.277778,54,81,0.835679,13428.869488,83.934011,53.261018,0.169174,0.002079,0.000053,0.000016,0.000000,0.000001,0.000000,1,2.086854,0.665960,0.712564,-0.158041,2659,116813.054240,3181.845600,211.691200,67.603551,51.281487,225.444697,13428.869488,70.265422,87.248966,6.980980,0.070570,4.218665,0.009655,0.014097,0.016158,0.013079,0.012819,0.010031,0.009486,0.010338,0.013209,0.013413,0.011897,0.015673,0.020335,0.012232,0.015144,0.015703,0.020551,0.021329,0.017304,0.018845,0.024062,0.031187,0.034057,0.035378,0.025585,0.028200,0.037710,0.037895,0.039817,0.032275,0.028105,0.022426,0.022264,0.022126,0.018826,0.023684,0.029953,0.021312,0.028145,0.020633,0.023873,0.023608,0.020897,0.020825,0.017019,0.014044,0.011864,0.012898,0.009688,6.276447,5.752026,1.646722,0.452553,0.237175,0.176860,0.119514,0.076948,0.067085,0.061244,0.042653,0.034285,0.034310,0.030170,0.024133,0.022644,0.021110,0.019226,0.015194,0.014512,0.015476,0.012675,0.011595,0.011376,0.011173,0.009231,0.009226,0.009082,0.009017,0.008103,0.008292,0.007998,0.007294,0.006550,0.007097,0.006712,0.006723,0.006074,0.006318,0.005737,0.005663,0.005883,0.005578,0.005595,0.005645,0.005036,0.005292,0.005039,0.004962,0.005134,0.065309,0.068047,0.723725,0.117226,0.500772,0.069245,0.183555,0.342708,0.216504,0.083429,0.096045,0.747089,0.106554,0.103791,0.329142,0.383387,0.325754,0.205210,0.309613,0.119688,0.756806,0.074089,0.119492,0.365637,0.295774,0.062638,0.268689,0.368667,0.276838,0.130500,0.125165,0.701550,0.131277,0.141623,0.340734,0.330432,0.364887,0.350481,0.255019,0.208449,0.296455,0.519370,0.292269,0.322427,0.297527,0.416769,0.208742,0.284468,0.207489,0.431567,0.520746,0.286727,0.125555,0.321483,0.314612,0.592897,0.168259,0.095599,0.661835,0.140493,0.180082,0.116177,0.091377,0.289092,0.627601,0.513205,0.251111,0.207649,0.213605,0.285877,0.132594,0.089747,0.359757,0.243500,0.596496,0.288459,0.320693,0.183162,0.313896,0.202759,0.310211,0.052316,11.794467,2.626579,2.143796,0.816193,0.938994,0.608368
6,2609,0.939487,0.705477,0.939104,129175.221332,98,46,3017.061105,222.122210,0.807419,57.635770,0.578749,1.931829,9.567957,2.121738,75.854916,44.752797,-86.612567,231.687338,0.910105,11372980.591310,56.760870,46,98,0.864749,17858.951760,98.855521,46.000000,0.185747,0.008069,0.000007,0.000002,-0.000000,0.000000,-0.000000,1,2.444644,0.685776,0.713266,0.119949,2609,129175.221332,3017.061105,222.122210,75.854916,44.752797,231.687338,17858.951760,63.932338,90.929858,6.782259,0.059141,3.317779,0.010760,0.003008,0.003411,0.003768,0.004163,0.004220,0.005156,0.006733,0.010122,0.016753,0.019557,0.028585,0.043078,0.028601,0.040605,0.032578,0.041744,0.043305,0.033767,0.030412,0.033089,0.050276,0.048466,0.051219,0.038788,0.029967,0.042032,0.037786,0.035808,0.034675,0.035333,0.026666,0.025238,0.022675,0.016765,0.012632,0.009390,0.004471,0.005232,0.004189,0.004834,0.004776,0.004849,0.004305,0.004461,0.004317,0.002871,0.002919,0.002406,5.285055,5.296562,1.997755,0.672764,0.292508,0.133280,0.138504,0.101009,0.078244,0.051067,0.043319,0.038760,0.036862,0.028774,0.024177,0.020921,0.020147,0.018693,0.015695,0.014439,0.013846,0.013213,0.011645,0.010661,0.009827,0.009308,0.008967,0.008277,0.008124,0.007375,0.007214,0.006979,0.006675,0.006632,0.006597,0.006099,0.005979,0.006197,0.006342,0.005848,0.005243,0.005545,0.005554,0.005674,0.005270,0.004782,0.004871,0.005223,0.005221,0.004969,0.048722,0.058195,0.814679,0.100236,0.370911,0.062992,0.223251,0.319818,0.163772,0.055550,0.141053,0.804831,0.086334,0.059781,0.192116,0.425931,0.296826,0.108655,0.197246,0.204616,0.796387,0.083710,0.083551,0.234841,0.393560,0.068783,0.237138,0.165415,0.301404,0.361857,0.139211,0.592235,0.175677,0.273147,0.376170,0.365724,0.157638,0.359373,0.396673,0.351095,0.161296,0.334213,0.434231,0.420741,0.249176,0.377741,0.291455,0.240317,0.494612,0.164118,0.340131,0.425796,0.217742,0.314058,0.166898,0.556696,0.390599,0.088636,0.584085,0.185410,0.257479,0.180838,0.165164,0.143017,0.476567,0.616350,0.367132,0.126843,0.132797,0.314794,0.291861,0.140543,0.378726,0.139215,0.469728,0.586394,0.118277,0.094893,0.248837,0.284044,0.327240,0.048604,11.260866,4.509490,4.952796,1.098305,0.958715,0.579193
7,3045,0.966029,0.762863,0.966029,152211.342164,76,56,3176.482946,206.965893,0.745134,62.265676,0.715461,0.858058,6.737307,0.731600,76.428124,50.971005,-64.619105,218.994949,0.926319,11157329.503945,57.207547,53,79,0.958607,15438.795329,83.190915,53.707125,0.173164,0.004428,0.000005,0.000001,0.000000,0.000000,-0.000000,1,2.115273,0.647038,0.697280,-0.249358,3045,152211.342164,3176.482946,206.965893,76.428124,50.971005,218.994949,15438.795329,60.104070,89.016749,6.751021,0.052632,2.914981,0.011257,0.007102,0.009804,0.011348,0.013610,0.015449,0.021265,0.027333,0.038835,0.045409,0.039073,0.041099,0.042123,0.024169,0.030595,0.022441,0.027238,0.029720,0.027744,0.031869,0.036531,0.046812,0.047608,0.052965,0.044345,0.032151,0.027864,0.022514,0.018279,0.012345,0.010727,0.008322,0.007212,0.007498,0.007056,0.007848,0.009973,0.008090,0.009614,0.008618,0.009728,0.009100,0.007155,0.006409,0.006493,0.008112,0.007205,0.007235,0.005965,7.415808,5.942071,1.936299,0.471077,0.248501,0.202757,0.118280,0.084410,0.073590,0.064311,0.041764,0.036455,0.032466,0.028925,0.022060,0.021176,0.019249,0.017114,0.013290,0.014785,0.013221,0.011294,0.010152,0.010284,0.008797,0.008081,0.008373,0.007839,0.006980,0.006618,0.007090,0.006274,0.005902,0.005809,0.006230,0.005249,0.004936,0.005261,0.005097,0.004439,0.004733,0.005105,0.004154,0.004402,0.004547,0.004447,0.003928,0.004423,0.004097,0.003958,0.065015,0.082862,0.740833,0.110633,0.454523,0.069044,0.130129,0.413641,0.168649,0.074012,0.142453,0.744937,0.136033,0.105575,0.177073,0.406103,0.418488,0.135055,0.279335,0.156936,0.745856,0.148727,0.192028,0.220227,0.399666,0.134009,0.236336,0.164664,0.279754,0.326665,0.142881,0.644186,0.138304,0.215383,0.372332,0.385192,0.164941,0.297042,0.383461,0.516809,0.192633,0.253829,0.231074,0.485712,0.282092,0.390355,0.163353,0.218366,0.576411,0.322703,0.259811,0.136172,0.228809,0.445497,0.170885,0.369887,0.494265,0.101282,0.652543,0.175177,0.225432,0.143336,0.227069,0.161416,0.362259,0.680286,0.476168,0.113382,0.165105,0.205450,0.215270,0.156595,0.430066,0.123820,0.367227,0.581811,0.146973,0.124661,0.116796,0.186817,0.490578,0.063492,13.904430,9.209007,7.851807,0.852623,0.945072,0.724146
8,2338,0.950449,0.676634,0.956002,111603.900922,87,43,2578.130420,202.260840,0.819410,54.560371,0.624967,1.617755,8.900466,1.459063,72.451903,41.530049,-76.589083,202.030483,0.910134,10236640.874669,53.204545,44,88,0.906859,15662.599074,88.282997,43.000000,0.186352,0.008870,0.000032,0.000002,0.000000,-0.000000,-0.000000,1,2.373832,0.668770,0.702479,0.014291,2338,111603.900922,2578.130420,202.260840,72.451903,41.530049,202.030483,15662.599074,70.181946,96.991446,6.723966,0.070414,3.816517,0.011015,0.003121,0.004158,0.004546,0.006105,0.007105,0.008861,0.010957,0.013222,0.016011,0.017135,0.028144,0.044610,0.030263,0.044574,0.038191,0.038652,0.035681,0.034178,0.034475,0.037271,0.051118,0.052308,0.057404,0.049934,0.034761,0.033211,0.025669,0.026980,0.022268,0.019663,0.017351,0.020742,0.019962,0.015869,0.017694,0.019462,0.011168,0.010189,0.005863,0.004971,0.004208,0.003573,0.003345,0.002994,0.003446,0.002909,0.003302,0.002377,4.839251,5.162536,2.273992,0.728691,0.276761,0.162442,0.148117,0.095189,0.062907,0.052847,0.048172,0.039849,0.031452,0.024504,0.025013,0.021888,0.018855,0.015023,0.014595,0.014370,0.013314,0.010870,0.010431,0.010706,0.010346,0.009056,0.008374,0.008331,0.008341,0.007383,0.006980,0.006638,0.006786,0.006568,0.005806,0.005557,0.006221,0.005950,0.005464,0.005225,0.005417,0.005517,0.005045,0.004915,0.005263,0.005388,0.004956,0.004977,0.005190,0.005293,0.037678,0.048496,0.783447,0.173973,0.407363,0.047624,0.071927,0.403696,0.125760,0.033515,0.089189,0.817205,0.163932,0.061126,0.123733,0.334716,0.390819,0.111366,0.223203,0.138312,0.822590,0.103617,0.067369,0.177503,0.382765,0.126862,0.212152,0.110195,0.121868,0.270205,0.238247,0.613845,0.097386,0.120899,0.562348,0.355091,0.055499,0.155350,0.438540,0.393247,0.120638,0.224504,0.310407,0.628188,0.264379,0.356554,0.168545,0.372439,0.451074,0.155205,0.308668,0.376037,0.299574,0.389576,0.129616,0.336376,0.501276,0.098882,0.637232,0.146801,0.297953,0.189845,0.237828,0.065976,0.285965,0.756404,0.285561,0.080206,0.113094,0.346447,0.309446,0.158656,0.329404,0.106785,0.552459,0.474741,0.120515,0.096680,0.221746,0.315285,0.420775,0.057281,11.572511,6.100126,5.501737,0.901906,1.001140,0.604597
9,19436,0.600720,0.109699,0.767636,555880.251465,535,103,35677.608624,1129.217249,0.991764,157.310787,0.352708,17.866435,109.843946,8.243859,532.482600,68.198079,86.150037,1392.223484,0.926496,64323297.261619,36.428355,98,537,0.544767,61954.376060,536.556782,97.939262,0.926676,0.804187,0.082202,0.035661,0.001834,0.022299,0.000602,1,2.430446,1.163236,1.016201,0.585615,19436,555880.251465,35677.608624,1129.217249,532.482600,68.198079,1392.223484,61954.376060,68.732753,124.557934,7.062493,0.067731,-0.083174,0.008727,0.003879,0.004952,0.004808,0.005313,0.005283,0.006088,0.006820,0.008503,0.010067,0.009226,0.009019,0.010054,0.007837,0.012149,0.011686,0.014099,0.015330,0.019344,0.023411,0.038207,0.057928,0.078842,0.076619,0.059903,0.070562,0.091541,0.060382,0.035640,0.037249,0.030926,0.024891,0.021005,0.017111,0.010590,0.010946,0.010323,0.007064,0.008821,0.007794,0.008933,0.008344,0.005940,0.006848,0.006447,0.006198,0.004814,0.004713,0.003555,9.231106,4.312693,1.179716,0.449789,0.209539,0.155862,0.145188,0.099315,0.072044,0.056110,0.043494,0.038327,0.033134,0.026886,0.024293,0.022195,0.022468,0.018276,0.017427,0.014156,0.013283,0.011582,0.011774,0.010856,0.010262,0.008970,0.009494,0.009000,0.008190,0.007315,0.007696,0.006945,0.006487,0.006061,0.006170,0.005830,0.005980,0.005950,0.005859,0.005583,0.005611,0.005572,0.005544,0.005522,0.005431,0.005205,0.005283,0.005166,0.005098,0.005076,0.038564,0.158704,0.815753,0.085272,0.116079,0.064255,0.457582,0.267382,0.046088,0.086809,0.243809,0.733143,0.110957,0.079976,0.107459,0.558195,0.219945,0.072869,0.175072,0.252056,0.756355,0.152274,0.133702,0.166800,0.443523,0.210429,0.154483,0.079635,0.323329,0.712383,0.151861,0.206474,0.111284,0.425664,0.339212,0.085412,0.133404,0.447249,0.612764,0.150555,0.118367,0.159728,0.531182,0.222923,0.112480,0.206847,0.438927,0.491267,0.152806,0.138454,0.226440,0.599409,0.207056,0.165097,0.216428,0.400122,0.470268,0.257364,0.514004,0.236818,0.273790,0.260230,0.206661,0.150563,0.454931,0.596605,0.182033,0.152768,0.182482,0.503020,0.222478,0.148767,0.184820,0.470003,0.530893,0.133786,0.113983,0.208609,0.578270,0.170491,0.158805,0.010027,13.960402,13.324336,6.148062,0.461416,0.811089,0.369304
10,3249,0.811845,0.830660,0.855645,147731.431040,86,74,4614.878342,247.756684,0.552734,64.317613,0.510528,4.287088,4.462320,3.191936,73.676700,61.399067,75.286305,364.983802,0.884525,17552272.260532,46.985507,69,86,0.704027,19401.640404,89.810555,66.058117,0.176887,0.001017,0.000291,0.000022,0.000000,0.000000,-0.000000,1,1.908531,0.661559,0.700344,-0.179388,3249,147731.431040,4614.878342,247.756684,73.676700,61.399067,364.983802,19401.640404,67.065718,76.341336,6.827060,0.064695,3.762250,0.011662,0.016770,0.021139,0.017857,0.022229,0.020523,0.019460,0.021879,0.024168,0.020307,0.018363,0.022094,0.029404,0.017097,0.024176,0.021311,0.021767,0.021995,0.019409,0.028224,0.033882,0.033441,0.031336,0.038024,0.027646,0.018855,0.023262,0.019363,0.019771,0.018403,0.023013,0.021630,0.019731,0.019595,0.014792,0.017434,0.024936,0.017227,0.017542,0.014427,0.016842,0.015128,0.015330,0.015362,0.014217,0.014604,0.015362,0.016790,0.013883,5.319772,3.642767,0.822298,0.305350,0.178288,0.126224,0.120984,0.086574,0.074338,0.053558,0.042536,0.039995,0.038498,0.032269,0.022724,0.019958,0.022754,0.021280,0.017853,0.017573,0.013680,0.011992,0.013906,0.012891,0.011030,0.009650,0.009714,0.008879,0.009655,0.010522,0.009043,0.008073,0.007914,0.007517,0.006905,0.006629,0.007468,0.007241,0.006595,0.007197,0.006675,0.006772,0.006492,0.006467,0.006107,0.006176,0.006767,0.006463,0.006178,0.005967,0.158991,0.101130,0.688348,0.079297,0.513704,0.099422,0.207033,0.270546,0.307488,0.151792,0.096973,0.715530,0.072728,0.172883,0.286340,0.442788,0.261648,0.271810,0.275305,0.077502,0.745475,0.085992,0.194749,0.343927,0.367219,0.085791,0.238010,0.394398,0.310325,0.170759,0.096449,0.632707,0.134346,0.218814,0.267557,0.414552,0.333243,0.319238,0.316222,0.281626,0.306795,0.389920,0.341514,0.301720,0.392299,0.377844,0.093596,0.235309,0.410684,0.466552,0.452099,0.251039,0.142029,0.345230,0.321595,0.552739,0.273215,0.106069,0.642261,0.094784,0.172952,0.181561,0.144212,0.207212,0.610540,0.571907,0.363226,0.165738,0.146697,0.188763,0.180294,0.090365,0.392415,0.230239,0.489709,0.526571,0.322579,0.165719,0.145466,0.116492,0.331145,0.024389,8.901765,1.397998,1.040874,0.744546,0.678816,0.546343
