roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,2515,0.765314,0.747812,0.879873,101574.628174,65,63,3180.297490,203.594980,0.602211,56.587962,0.614164,4.563113,4.115037,2.195444,66.850960,53.369579,67.255697,256.557395,0.898944,12234442.978020,39.904762,64,67,0.790807,13579.713435,69.835329,61.181496,0.181771,0.001621,0.001002,0.000033,-0.000000,-0.000001,0.000000,1,1.998105,0.638739,0.682133,-0.304351,2515,101574.628174,3180.297490,203.594980,66.850960,53.369579,256.557395,13579.713435,63.460366,103.065209,6.858590,0.058321,2.156280,0.010647,0.016906,0.021703,0.019709,0.024339,0.018155,0.018652,0.024743,0.026588,0.022429,0.017567,0.018956,0.022944,0.017861,0.036651,0.039048,0.044742,0.041288,0.032480,0.026444,0.020375,0.018277,0.015664,0.014659,0.011837,0.012540,0.017446,0.013264,0.015123,0.017202,0.019017,0.016903,0.023212,0.030200,0.030037,0.029279,0.026057,0.013264,0.016493,0.010976,0.011304,0.010460,0.010290,0.016105,0.019015,0.019075,0.019896,0.017183,0.013639,4.961851,4.466636,1.511232,0.421398,0.307118,0.137049,0.128153,0.084436,0.077420,0.056318,0.046010,0.035633,0.033988,0.026239,0.022857,0.022956,0.021168,0.017399,0.015069,0.014769,0.012490,0.011173,0.012424,0.011666,0.011257,0.010766,0.009377,0.009144,0.008489,0.008136,0.007486,0.007426,0.007523,0.007147,0.006408,0.005946,0.005666,0.006438,0.005963,0.006603,0.006239,0.006646,0.005862,0.005400,0.005382,0.004823,0.005479,0.005511,0.005689,0.005668,0.113495,0.060169,0.742709,0.154723,0.500402,0.069470,0.130403,0.336942,0.148922,0.127436,0.104468,0.816496,0.154803,0.108080,0.178136,0.272252,0.375663,0.153485,0.250119,0.129910,0.828800,0.106992,0.149264,0.234227,0.231582,0.116509,0.279031,0.324233,0.261771,0.149110,0.127135,0.777057,0.191051,0.150496,0.205611,0.287590,0.349520,0.412399,0.317180,0.368160,0.320390,0.335431,0.287482,0.288406,0.301048,0.359087,0.263519,0.306910,0.407032,0.334945,0.286329,0.254615,0.187912,0.497424,0.291250,0.389205,0.226017,0.101839,0.776629,0.208769,0.120863,0.091643,0.180258,0.302328,0.503889,0.451514,0.389821,0.295432,0.265613,0.242561,0.203911,0.201544,0.394112,0.213709,0.358043,0.443750,0.250910,0.156669,0.236031,0.224683,0.529338,0.038209,9.802875,1.874353,0.901805,0.481129,0.793565,0.586287
2,8467,0.943381,0.754255,0.943499,702070.559854,136,100,9838.558306,365.116612,0.720016,103.829279,0.622574,2.452760,11.723893,2.414108,125.713256,87.239670,68.983645,436.102597,0.925895,29845204.056128,90.000000,94,141,0.860594,50104.417384,142.631417,89.922147,0.187999,0.006151,0.000149,0.000113,0.000000,0.000009,0.000000,3,2.027564,0.654956,0.705448,-0.217704,8853,703530.275794,11291.057486,628.114971,247.145062,115.583329,657.754401,51593.474138,68.685847,76.018299,7.043750,0.067645,4.979600,0.009721,0.011845,0.015176,0.016679,0.019575,0.018726,0.017434,0.016400,0.017962,0.014638,0.011679,0.012689,0.014230,0.011598,0.017402,0.019754,0.018651,0.023128,0.028799,0.024502,0.034528,0.045449,0.038551,0.031904,0.021805,0.026216,0.025705,0.025122,0.032432,0.023567,0.019002,0.023517,0.024773,0.024197,0.021235,0.028231,0.027230,0.016351,0.018468,0.014662,0.018144,0.020157,0.015182,0.016726,0.019145,0.019545,0.015507,0.012287,0.009498,13.187630,2.508467,0.520860,0.363467,0.209215,0.144791,0.109451,0.075043,0.061925,0.057585,0.048918,0.038788,0.036254,0.031137,0.029770,0.020559,0.022124,0.021132,0.017728,0.015045,0.015835,0.014053,0.013407,0.012506,0.010146,0.010315,0.009687,0.009025,0.008351,0.008811,0.009440,0.008477,0.007886,0.007751,0.007823,0.006775,0.007262,0.007178,0.007623,0.006749,0.006896,0.007294,0.006447,0.006866,0.006807,0.006724,0.006714,0.006932,0.007010,0.007114,0.176997,0.119573,0.636107,0.130931,0.435946,0.155510,0.362562,0.357183,0.243590,0.082825,0.135575,0.636100,0.133029,0.128850,0.323374,0.581214,0.292611,0.088515,0.266453,0.151767,0.678466,0.126151,0.158931,0.401213,0.403482,0.134107,0.250450,0.364615,0.502330,0.354390,0.152706,0.521913,0.157335,0.219964,0.217306,0.270286,0.171092,0.472666,0.444067,0.303089,0.209880,0.341575,0.478086,0.229539,0.127585,0.356249,0.180161,0.217164,0.370347,0.367801,0.461384,0.426185,0.160318,0.317527,0.283229,0.583084,0.365576,0.147605,0.584472,0.123200,0.155382,0.155402,0.138859,0.149502,0.540675,0.674141,0.313826,0.135139,0.129055,0.234928,0.176652,0.105126,0.328839,0.233115,0.594276,0.437554,0.267721,0.152952,0.235586,0.197011,0.321747,0.044520,19.415156,4.856408,4.779879,0.984242,0.954938,0.638298
3,2184,0.924771,0.859633,0.922018,85026.943370,75,48,2530.335465,192.670931,0.615932,52.732866,0.606667,2.597889,4.413499,2.244247,60.066571,47.320426,65.503330,203.267027,0.906309,9947298.351955,44.489796,49,77,0.863127,11006.944210,77.832105,48.000000,0.167254,0.001533,0.000069,0.000014,0.000000,0.000001,0.000000,1,2.103027,0.657216,0.703952,-0.166303,2184,85026.943370,2530.335465,192.670931,60.066571,47.320426,203.267027,11006.944210,68.548634,90.238553,7.090367,0.067393,3.500755,0.009176,0.021065,0.024341,0.023392,0.021311,0.018169,0.016017,0.012868,0.012365,0.010179,0.008238,0.009894,0.010658,0.005344,0.007447,0.008313,0.012639,0.014108,0.017103,0.032314,0.040817,0.058638,0.053868,0.051202,0.036576,0.029673,0.032705,0.028736,0.027713,0.021782,0.019749,0.018838,0.022313,0.025598,0.023668,0.021999,0.018799,0.013181,0.019898,0.014472,0.014899,0.014053,0.013612,0.012675,0.013262,0.016601,0.015608,0.018318,0.014980,4.789467,5.325058,1.996945,0.485314,0.241475,0.174258,0.124150,0.076945,0.066818,0.056882,0.051431,0.031735,0.034176,0.029322,0.028366,0.019201,0.021693,0.017972,0.016131,0.013385,0.014513,0.012855,0.012306,0.010546,0.010219,0.010040,0.009273,0.008258,0.008846,0.009066,0.007953,0.007270,0.007090,0.007530,0.006693,0.006159,0.006024,0.006591,0.005771,0.006120,0.006065,0.006200,0.005562,0.005764,0.005758,0.005764,0.005393,0.005620,0.005508,0.005726,0.136716,0.097303,0.732285,0.117249,0.465150,0.079274,0.247854,0.303047,0.214322,0.116441,0.151396,0.763646,0.120982,0.148278,0.288129,0.405846,0.262785,0.164185,0.271425,0.150522,0.792188,0.089535,0.161680,0.316970,0.270776,0.047346,0.256751,0.346184,0.435573,0.253582,0.153293,0.672273,0.134368,0.108860,0.159881,0.308562,0.258572,0.449497,0.528199,0.308227,0.360120,0.327247,0.198390,0.157321,0.237082,0.398938,0.201854,0.485093,0.289981,0.395108,0.335360,0.207337,0.128070,0.390808,0.221281,0.456490,0.350066,0.130070,0.716684,0.115667,0.205549,0.152732,0.102924,0.192295,0.450925,0.676018,0.255182,0.251060,0.168758,0.297581,0.207421,0.120334,0.408172,0.164684,0.538253,0.248835,0.268838,0.174727,0.255075,0.229472,0.483853,0.052859,10.744487,1.966584,1.698879,0.863873,0.947871,0.577790
4,9936,0.892512,0.845713,0.875403,804641.334699,160,116,13056.347257,428.694515,0.572287,112.476256,0.535345,5.023190,8.252187,5.886376,127.534555,104.585145,87.448362,662.032575,0.931265,31486690.162060,84.203390,118,161,0.761009,83558.723924,164.970244,109.953576,0.171097,0.001123,0.000174,0.000014,0.000000,0.000000,-0.000000,1,2.038555,0.681709,0.738603,-0.225885,9936,804641.334699,13056.347257,428.694515,127.534555,104.585145,662.032575,83558.723924,60.184055,46.993961,6.364422,0.052764,6.059802,0.019942,0.014900,0.017647,0.016097,0.020581,0.022411,0.021703,0.021628,0.021071,0.023328,0.023201,0.024095,0.025070,0.016184,0.020474,0.018875,0.025291,0.021480,0.019884,0.020486,0.025689,0.044194,0.037405,0.037648,0.028241,0.031091,0.023806,0.022122,0.023314,0.019676,0.016642,0.014956,0.014644,0.015071,0.014302,0.022567,0.021375,0.010484,0.014198,0.018938,0.022855,0.022286,0.019583,0.015706,0.013489,0.015438,0.014450,0.015491,0.009932,14.965981,2.314633,0.486868,0.252747,0.219402,0.173987,0.111660,0.077384,0.066561,0.048766,0.045630,0.040075,0.035190,0.030682,0.026533,0.022323,0.020780,0.017547,0.014926,0.013677,0.016711,0.013964,0.012350,0.011728,0.011234,0.010048,0.008855,0.008609,0.009105,0.008209,0.007647,0.007848,0.007588,0.007914,0.006621,0.006208,0.006488,0.006703,0.006430,0.006315,0.006300,0.006528,0.006188,0.006164,0.006100,0.006066,0.005843,0.005680,0.005458,0.005689,0.088517,0.087156,0.636310,0.075222,0.447791,0.083558,0.339395,0.385622,0.320354,0.044498,0.064489,0.646683,0.061050,0.137092,0.258858,0.561082,0.393246,0.129141,0.297489,0.098503,0.642388,0.073100,0.280514,0.458424,0.328085,0.163550,0.246093,0.443526,0.343715,0.119256,0.083646,0.628932,0.108332,0.150175,0.244099,0.417728,0.280728,0.432100,0.324564,0.277492,0.369053,0.391033,0.322546,0.312883,0.247177,0.378549,0.099432,0.199657,0.242669,0.572252,0.530715,0.131247,0.088520,0.337444,0.434334,0.577961,0.297067,0.125879,0.581917,0.092972,0.091071,0.086274,0.101054,0.195046,0.469881,0.803131,0.238252,0.096876,0.095541,0.102303,0.088303,0.051073,0.306605,0.103965,0.721689,0.334398,0.299095,0.195560,0.116240,0.106505,0.331618,0.022670,15.008325,1.401913,1.642818,1.171840,0.647543,0.523002
5,1743,0.837543,0.625718,0.857061,32874.995198,74,40,2323.934648,188.869296,0.807645,47.108986,0.588851,3.109456,7.335073,3.071889,63.715233,37.570900,84.857392,223.651804,0.869141,11339283.853044,24.033960,40,75,0.750021,5663.631264,77.490085,40.000000,0.196072,0.009006,0.000114,0.000030,-0.000000,0.000000,-0.000000,1,2.335975,0.686522,0.706907,0.069026,1743,32874.995198,2323.934648,188.869296,63.715233,37.570900,223.651804,5663.631264,82.612609,107.777395,7.054319,0.094988,2.677200,0.009620,0.016479,0.020517,0.017983,0.019204,0.014825,0.013243,0.012957,0.014403,0.013660,0.011127,0.016928,0.022873,0.015181,0.022199,0.020346,0.030834,0.031528,0.026983,0.029096,0.030790,0.036719,0.036039,0.035792,0.030576,0.032165,0.031623,0.028777,0.032370,0.025934,0.025646,0.030494,0.029428,0.021584,0.016003,0.017618,0.020876,0.015970,0.014505,0.011717,0.012150,0.011973,0.010730,0.010807,0.010894,0.012348,0.012136,0.013554,0.010415,2.591708,3.262091,1.723593,0.509320,0.255041,0.182246,0.117784,0.077065,0.058331,0.052445,0.043317,0.035136,0.034783,0.026603,0.028512,0.023282,0.019737,0.018507,0.015271,0.014085,0.014556,0.013201,0.012603,0.010120,0.009645,0.010201,0.008838,0.008066,0.008913,0.008748,0.008248,0.007419,0.007941,0.007467,0.006710,0.006681,0.007059,0.006740,0.005961,0.005704,0.006076,0.005799,0.005627,0.006588,0.006210,0.005930,0.006241,0.006355,0.005869,0.005114,0.041455,0.060354,0.776404,0.095100,0.467589,0.067051,0.199890,0.312744,0.147950,0.041544,0.083330,0.820116,0.116530,0.059884,0.192586,0.401194,0.291891,0.135376,0.263245,0.111764,0.846866,0.124524,0.068985,0.211885,0.296164,0.082278,0.203430,0.281974,0.178650,0.149284,0.094514,0.678386,0.119301,0.291241,0.442528,0.319783,0.241560,0.169317,0.241584,0.345665,0.177866,0.329285,0.587427,0.418859,0.273046,0.346901,0.131473,0.230536,0.441871,0.224179,0.403869,0.523378,0.135303,0.329207,0.322902,0.457924,0.284753,0.094029,0.725102,0.127948,0.127257,0.097101,0.168363,0.308323,0.447954,0.593129,0.417766,0.172743,0.186587,0.218570,0.183425,0.178518,0.410241,0.132601,0.464286,0.476152,0.225334,0.225188,0.248628,0.204525,0.408294,0.034846,7.793364,2.387805,2.358957,0.987919,0.844479,0.580667
6,324,0.668731,0.650155,0.749226,4516.955737,28,26,552.783776,82.567551,0.458966,20.310825,0.445055,2.458880,1.799895,1.711106,24.653402,21.903413,-80.352263,102.118795,0.665127,5721759.184660,12.423077,26,28,0.586124,1825.992037,30.082299,25.933909,0.209142,0.000606,0.000434,0.000441,0.000000,-0.000006,0.000000,1,2.152357,0.681003,0.699758,-0.150059,324,4516.955737,552.783776,82.567551,24.653402,21.903413,102.118795,1825.992037,64.910075,93.055556,5.872264,0.060852,-0.014305,0.027130,0.009364,0.013973,0.013227,0.016311,0.018268,0.017928,0.017140,0.016215,0.015323,0.012934,0.015670,0.019446,0.015097,0.024538,0.022535,0.029562,0.034690,0.035730,0.040953,0.047259,0.060886,0.055651,0.047491,0.031499,0.027546,0.033627,0.031697,0.032690,0.023509,0.020071,0.019412,0.020852,0.017202,0.012387,0.011318,0.009870,0.005755,0.008172,0.008518,0.008340,0.009181,0.009345,0.009293,0.008882,0.010143,0.010891,0.010886,0.008723,0.234165,0.533198,0.676988,0.528760,0.370143,0.178711,0.096395,0.068451,0.051364,0.046695,0.051673,0.047288,0.038864,0.024961,0.021868,0.019316,0.017439,0.016170,0.016561,0.015529,0.012293,0.010376,0.012619,0.014653,0.013118,0.011083,0.010717,0.009310,0.008161,0.007797,0.007908,0.007916,0.007689,0.007725,0.007949,0.007264,0.006884,0.006866,0.007246,0.007022,0.006052,0.005619,0.006088,0.006927,0.007040,0.006832,0.006732,0.006948,0.006977,0.007160,0.039652,0.026488,0.856932,0.061102,0.432447,0.044504,0.141157,0.185069,0.128418,0.036043,0.019449,0.934077,0.031032,0.097023,0.163955,0.199896,0.181285,0.125456,0.225577,0.060393,0.914157,0.048209,0.100905,0.162161,0.098501,0.039297,0.244406,0.236393,0.244025,0.172356,0.058871,0.847036,0.063263,0.149596,0.232748,0.231021,0.329133,0.329975,0.292106,0.389135,0.380014,0.368073,0.272039,0.312585,0.307290,0.549350,0.082789,0.122309,0.351466,0.336776,0.306526,0.140726,0.074239,0.565842,0.224729,0.328205,0.310006,0.079699,0.852549,0.059194,0.056511,0.049456,0.057756,0.329010,0.492390,0.607315,0.447229,0.240149,0.071468,0.085261,0.070743,0.073482,0.619395,0.117757,0.212017,0.401995,0.227184,0.091424,0.100267,0.107076,0.560747,0.031069,3.172775,1.051890,0.731998,0.695889,0.808544,0.443681
7,2133,0.903620,0.917254,0.922426,74044.720851,57,51,2400.357995,175.715990,0.242802,52.113529,0.733746,2.181948,2.117369,1.725624,53.556324,51.953696,-68.776891,191.888348,0.906681,9525255.069294,38.672727,55,58,0.888617,9580.092252,63.031292,50.366498,0.163058,0.000025,0.000106,0.000002,-0.000000,0.000000,-0.000000,1,1.918939,0.632076,0.693194,-0.423127,2133,74044.720851,2400.357995,175.715990,53.556324,51.953696,191.888348,9580.092252,56.638594,93.691045,6.695463,0.047014,1.236106,0.011382,0.013037,0.017349,0.022062,0.028758,0.027249,0.023875,0.020049,0.021989,0.020290,0.016529,0.017018,0.013710,0.008198,0.011628,0.010831,0.014407,0.016617,0.018763,0.022358,0.024167,0.029099,0.032910,0.042352,0.041578,0.041703,0.041311,0.031157,0.029128,0.023626,0.021457,0.020679,0.022430,0.026135,0.027092,0.030993,0.037036,0.021765,0.016646,0.009017,0.007518,0.006942,0.006324,0.007127,0.007722,0.011001,0.012348,0.014553,0.011466,5.032177,5.444699,1.951059,0.559450,0.238412,0.160588,0.150980,0.100650,0.061199,0.055255,0.055858,0.037917,0.030416,0.026922,0.029063,0.022563,0.018597,0.014878,0.016508,0.013706,0.013403,0.010392,0.012045,0.011197,0.010510,0.007871,0.009736,0.009148,0.007707,0.006936,0.008067,0.007077,0.006623,0.006033,0.006883,0.006181,0.005987,0.005713,0.005600,0.005471,0.005086,0.005022,0.005136,0.004858,0.004725,0.004781,0.005117,0.005248,0.004965,0.004956,0.084019,0.093681,0.748416,0.137809,0.455650,0.070945,0.285235,0.255802,0.213545,0.090043,0.154773,0.765417,0.118763,0.152935,0.270877,0.430832,0.240436,0.166670,0.270994,0.144953,0.802852,0.067659,0.162493,0.299959,0.263500,0.076095,0.254556,0.282592,0.367633,0.181610,0.180484,0.717717,0.135486,0.154810,0.216280,0.339430,0.249021,0.425032,0.344540,0.378653,0.338613,0.381053,0.275988,0.294360,0.269391,0.455051,0.203773,0.311809,0.341283,0.357019,0.399178,0.246224,0.203497,0.385827,0.240458,0.453490,0.284925,0.128365,0.758716,0.130851,0.126199,0.111156,0.133458,0.199263,0.442213,0.682054,0.340050,0.205008,0.153661,0.205182,0.240242,0.135837,0.463629,0.113996,0.554383,0.348522,0.207180,0.134187,0.181286,0.248389,0.433303,0.057929,11.115839,1.227017,0.970403,0.790864,0.915720,0.666771
8,4218,0.907043,0.837562,0.798909,226911.215983,114,83,5756.146068,296.292137,0.642964,73.283862,0.445783,2.319241,7.026703,5.169891,88.848380,68.048650,82.344115,344.226443,0.916628,16548926.150147,49.034884,86,115,0.732782,27759.770077,117.642942,70.594232,0.185539,0.002337,0.000007,0.000004,-0.000000,0.000000,0.000000,1,2.267597,0.683786,0.741521,-0.120293,4218,226911.215983,5756.146068,296.292137,88.848380,68.048650,344.226443,27759.770077,66.868909,101.279991,7.173310,0.064341,1.868241,0.008101,0.007817,0.008603,0.008041,0.008607,0.007936,0.006898,0.007335,0.007745,0.008455,0.010175,0.014693,0.019895,0.015335,0.027928,0.034954,0.046096,0.056068,0.051832,0.043853,0.033676,0.033506,0.021259,0.029307,0.026769,0.021314,0.030123,0.027663,0.023499,0.023117,0.019489,0.019492,0.021749,0.020902,0.017365,0.020734,0.024693,0.017707,0.026236,0.022648,0.022961,0.019438,0.016236,0.015413,0.014770,0.012542,0.009155,0.008558,0.007415,8.513770,4.040460,1.085399,0.436530,0.272812,0.172626,0.122064,0.078947,0.071476,0.067808,0.045967,0.038836,0.037145,0.025470,0.022635,0.021057,0.021223,0.015156,0.014262,0.014307,0.014061,0.011586,0.010615,0.010030,0.009812,0.009602,0.009566,0.008859,0.007607,0.007150,0.007493,0.007033,0.006963,0.006311,0.006277,0.005869,0.005869,0.005985,0.005898,0.005320,0.005093,0.005079,0.004974,0.004836,0.005154,0.005343,0.004908,0.005303,0.004941,0.004357,0.082156,0.204234,0.758472,0.110106,0.400471,0.082833,0.309395,0.309156,0.074791,0.123141,0.181930,0.767746,0.114872,0.160794,0.294361,0.307790,0.364401,0.095295,0.302461,0.150165,0.759187,0.101265,0.184489,0.333029,0.159949,0.163253,0.319637,0.290848,0.411223,0.253393,0.159929,0.566488,0.160315,0.414176,0.349964,0.126060,0.277557,0.376430,0.455831,0.254734,0.171667,0.407398,0.382854,0.388179,0.126047,0.354696,0.270923,0.469900,0.242372,0.153279,0.468151,0.324789,0.231388,0.345763,0.377608,0.326240,0.213089,0.281353,0.699622,0.170408,0.244966,0.171942,0.135387,0.327237,0.362251,0.565286,0.376309,0.152735,0.228039,0.311260,0.324203,0.152358,0.364434,0.256221,0.576815,0.260211,0.101867,0.249943,0.328235,0.301540,0.359999,0.035597,12.253562,1.359159,3.029742,2.229130,0.860748,0.426390
9,534,0.891791,0.919776,0.932836,9616.415113,27,29,581.594875,85.189751,0.373689,26.075082,0.681992,1.833332,0.998042,1.111571,27.323849,25.344343,-34.720238,86.633514,0.825053,4818455.475068,20.615385,26,30,0.918165,2550.723298,31.064298,26.162951,0.162257,0.000148,0.000146,0.000001,0.000000,0.000000,0.000000,1,1.949548,0.621382,0.686040,-0.444235,534,9616.415113,581.594875,85.189751,27.323849,25.344343,86.633514,2550.723298,64.026641,109.239700,6.443234,0.059305,-0.233698,0.015605,0.016488,0.019304,0.018920,0.020963,0.019071,0.018827,0.019127,0.021104,0.023350,0.023565,0.030686,0.038059,0.024499,0.034667,0.029292,0.036007,0.035304,0.032422,0.027251,0.027141,0.028442,0.023186,0.022651,0.015824,0.013058,0.016262,0.015517,0.014828,0.011703,0.010269,0.011486,0.013454,0.014680,0.013854,0.016552,0.019964,0.015412,0.020836,0.018195,0.024764,0.025965,0.024321,0.021254,0.017395,0.015781,0.013138,0.013949,0.011215,0.747563,1.585272,1.811778,1.174705,0.559506,0.142897,0.134612,0.122498,0.077166,0.040505,0.044729,0.041757,0.030119,0.020457,0.023539,0.021787,0.017738,0.015177,0.015594,0.014830,0.013163,0.011575,0.011545,0.010474,0.009126,0.008184,0.008222,0.007328,0.006809,0.006150,0.005905,0.005859,0.005961,0.005701,0.005638,0.005699,0.005986,0.005672,0.005226,0.005276,0.005224,0.004696,0.004389,0.004827,0.005245,0.004616,0.003994,0.004419,0.004820,0.004443,0.035656,0.040131,0.794302,0.067415,0.532427,0.043883,0.071773,0.199897,0.176466,0.035991,0.065369,0.882302,0.046048,0.134284,0.260967,0.161747,0.270228,0.168910,0.312868,0.094386,0.841376,0.054640,0.135168,0.255492,0.140850,0.113950,0.256777,0.162937,0.301011,0.114597,0.045343,0.834960,0.046899,0.071628,0.280797,0.290373,0.168886,0.385571,0.426896,0.301891,0.307688,0.419046,0.144727,0.386220,0.330222,0.419558,0.100624,0.366290,0.311989,0.337913,0.426166,0.145285,0.125988,0.499553,0.185638,0.323191,0.134164,0.068569,0.904726,0.074150,0.058922,0.050196,0.091449,0.252122,0.527526,0.614778,0.430908,0.230454,0.096003,0.084543,0.065383,0.144096,0.497429,0.139918,0.424535,0.356934,0.232633,0.086836,0.076500,0.082619,0.592464,0.071149,6.163896,0.897866,0.544387,0.606312,0.983335,0.687179
10,497,0.941532,0.937500,0.929435,8534.005544,28,25,524.309244,79.618488,0.350077,25.155517,0.710000,0.887404,0.831753,0.701410,26.099845,24.448273,78.189188,83.840620,0.823714,4490365.138611,19.840000,25,28,0.947914,2185.348047,28.284198,25.000000,0.160506,0.000110,0.000025,0.000000,0.000000,0.000000,-0.000000,1,1.945956,0.617779,0.686238,-0.488058,497,8534.005544,524.309244,79.618488,26.099845,24.448273,83.840620,2185.348047,55.843973,103.716298,5.885877,0.045764,-1.022021,0.023453,0.009820,0.013288,0.014007,0.016335,0.014944,0.015978,0.019202,0.022490,0.023985,0.023327,0.027912,0.034016,0.020829,0.029969,0.026016,0.031601,0.032320,0.029207,0.025610,0.025321,0.029563,0.027358,0.027452,0.019578,0.018038,0.024075,0.024500,0.027754,0.023720,0.021959,0.022453,0.023700,0.025150,0.022453,0.022994,0.024204,0.016184,0.019095,0.015964,0.017964,0.016274,0.012184,0.011529,0.011135,0.011056,0.009647,0.009894,0.007946,0.714729,1.521200,1.782409,1.190383,0.553556,0.132465,0.127018,0.126470,0.085394,0.039437,0.043001,0.047795,0.037107,0.019285,0.020495,0.023829,0.020460,0.013442,0.013437,0.015665,0.014751,0.010706,0.009839,0.011044,0.010641,0.008244,0.007752,0.008461,0.008470,0.006750,0.005842,0.006620,0.006785,0.005368,0.004524,0.004909,0.005668,0.005012,0.004141,0.004406,0.004913,0.005025,0.004689,0.004593,0.004306,0.004123,0.004115,0.004168,0.004035,0.004189,0.044523,0.038840,0.820161,0.063794,0.495597,0.040200,0.150514,0.187458,0.121436,0.044505,0.038618,0.925481,0.037791,0.112175,0.163459,0.209020,0.195556,0.131715,0.283572,0.078129,0.893430,0.052599,0.128711,0.156559,0.106885,0.051237,0.239519,0.194337,0.265690,0.233324,0.064501,0.826922,0.052377,0.166856,0.267802,0.216648,0.248784,0.359837,0.443584,0.326480,0.306078,0.322580,0.300486,0.368894,0.284863,0.528032,0.096707,0.231147,0.328619,0.338613,0.334782,0.191886,0.092440,0.527544,0.186439,0.295355,0.256790,0.083257,0.885946,0.058655,0.073534,0.059632,0.088459,0.321331,0.522577,0.567217,0.432875,0.245642,0.126244,0.118623,0.097236,0.121383,0.591693,0.142027,0.250739,0.368680,0.223049,0.115759,0.125347,0.117005,0.581701,0.070705,5.927914,1.185830,0.937288,0.790406,0.949641,0.708571
