roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,38238,0.667408,0.087410,0.684063,1323039.142939,742,247,127604.792084,1630.584168,0.992648,220.649346,0.208638,15.107018,70.011310,14.895021,810.287544,98.073272,82.072476,3180.981023,0.917732,141426175.014963,44.065084,253,743,0.299660,124884.330442,744.029131,247.000000,1.090060,1.113768,0.016495,0.002698,-0.000002,-0.001386,0.000018,3,3.222569,1.024614,0.897912,0.820234,38704,1327611.978831,129706.178187,1955.356374,984.702407,128.796539,3421.005410,127009.688388,69.235399,120.769430,6.818892,0.068657,0.457103,0.011413,0.028372,0.028782,0.031409,0.027929,0.020493,0.025378,0.020104,0.018627,0.014109,0.012476,0.011367,0.012136,0.008160,0.012403,0.012547,0.012998,0.013136,0.012943,0.013305,0.014664,0.035700,0.022145,0.036239,0.038850,0.019411,0.045393,0.046060,0.045903,0.037019,0.013939,0.012408,0.012483,0.011662,0.010886,0.012525,0.012876,0.009408,0.012807,0.012291,0.015266,0.015458,0.015307,0.016809,0.022585,0.028692,0.028495,0.032161,0.025881,10.731326,1.401696,0.453182,0.236135,0.194923,0.111934,0.082677,0.076506,0.058441,0.051439,0.041348,0.037091,0.036591,0.031120,0.026178,0.023709,0.023152,0.022280,0.019563,0.019127,0.019984,0.015775,0.016238,0.013772,0.013656,0.013011,0.012899,0.012549,0.011462,0.011600,0.011171,0.010597,0.010685,0.009992,0.009827,0.008706,0.009868,0.009356,0.009042,0.008566,0.009312,0.008777,0.008688,0.008382,0.008297,0.008315,0.008373,0.008563,0.008271,0.008622,0.203887,0.254931,0.673666,0.209047,0.365398,0.253909,0.301120,0.248438,0.213386,0.220279,0.238671,0.753899,0.215405,0.258614,0.248592,0.246920,0.215447,0.209007,0.280719,0.202557,0.759548,0.209336,0.235552,0.219760,0.197230,0.191311,0.283115,0.217789,0.375062,0.406391,0.263242,0.372602,0.276835,0.435449,0.324669,0.258748,0.239971,0.357169,0.373868,0.299096,0.283825,0.293584,0.473717,0.336749,0.284697,0.320784,0.276837,0.345057,0.289178,0.298177,0.306900,0.433688,0.352259,0.350001,0.213444,0.380229,0.395937,0.292407,0.411026,0.256954,0.404219,0.319357,0.259324,0.235734,0.357133,0.413293,0.311090,0.287144,0.264626,0.457697,0.326371,0.284278,0.292253,0.295585,0.457049,0.280580,0.283090,0.265254,0.428644,0.331838,0.308620,0.003779,12.020820,4.700316,4.634357,0.985967,0.571574,0.203454
2,1827,0.930883,0.791552,0.940757,68721.030300,74,42,2126.127951,181.255902,0.704774,48.230785,0.587838,2.517493,5.840380,2.288934,57.889874,41.068922,-82.565369,179.438600,0.899279,9109311.835065,42.395349,43,74,0.859309,12129.927409,74.966151,42.000000,0.172247,0.003239,0.000122,0.000024,0.000000,0.000001,-0.000000,1,2.275747,0.668007,0.718534,-0.098372,1827,68721.030300,2126.127951,181.255902,57.889874,41.068922,179.438600,12129.927409,74.976508,94.077176,7.051913,0.079572,4.189064,0.009266,0.013150,0.015804,0.014598,0.014931,0.013216,0.013196,0.011499,0.014478,0.015495,0.014827,0.018411,0.024514,0.019780,0.029968,0.026386,0.030489,0.033668,0.033058,0.039001,0.043381,0.045049,0.034832,0.034485,0.028885,0.030284,0.041753,0.041884,0.034157,0.024381,0.021614,0.020730,0.019905,0.019861,0.015830,0.017614,0.019330,0.010281,0.011330,0.009757,0.009806,0.008333,0.007316,0.006758,0.006989,0.008895,0.008867,0.011143,0.010079,3.699284,4.657625,2.247012,0.665310,0.261526,0.174237,0.131180,0.087835,0.057945,0.055678,0.046662,0.036598,0.031744,0.026877,0.025869,0.020482,0.018489,0.017117,0.014836,0.014929,0.012712,0.011978,0.010541,0.010414,0.009934,0.009013,0.008468,0.008243,0.008265,0.007941,0.007267,0.007750,0.007304,0.006823,0.006494,0.006082,0.006590,0.006531,0.005944,0.006070,0.006200,0.006099,0.006062,0.005780,0.005848,0.005734,0.005452,0.005611,0.005596,0.005643,0.056930,0.084350,0.750666,0.098390,0.440079,0.088348,0.159115,0.402900,0.165354,0.065674,0.125503,0.759354,0.132012,0.097080,0.241606,0.410225,0.357581,0.148132,0.237273,0.140844,0.799334,0.127529,0.109681,0.241602,0.366484,0.086217,0.237738,0.293967,0.307519,0.203723,0.133445,0.660917,0.131858,0.214566,0.413462,0.297516,0.234452,0.288615,0.404931,0.413861,0.219536,0.339122,0.362420,0.402093,0.265056,0.325836,0.161854,0.397978,0.450748,0.249075,0.373890,0.354190,0.180738,0.382261,0.271335,0.475445,0.369374,0.120402,0.680465,0.106069,0.217569,0.125107,0.110105,0.221902,0.409184,0.696440,0.343261,0.156670,0.128210,0.289707,0.197857,0.128096,0.355352,0.126786,0.599822,0.402413,0.170245,0.149731,0.278538,0.237546,0.387957,0.056742,10.181756,2.551572,2.319919,0.909211,1.010128,0.572910
3,2238,0.916443,0.846291,0.924486,89645.215470,50,63,2368.652132,175.304264,0.622020,53.380803,0.710476,1.993637,3.745119,1.706220,60.700076,47.528241,9.494874,186.509668,0.914972,9338267.947880,44.760000,50,63,0.944841,10822.292841,64.845693,48.225187,0.165906,0.001584,0.000095,0.000002,0.000000,0.000000,-0.000000,1,2.001628,0.629994,0.693133,-0.376136,2238,89645.215470,2368.652132,175.304264,60.700076,47.528241,186.509668,10822.292841,70.980211,98.067024,7.109888,0.071909,2.631611,0.008620,0.021836,0.029840,0.028507,0.027352,0.020614,0.022706,0.024679,0.029201,0.032442,0.029051,0.024528,0.021993,0.014874,0.019178,0.011505,0.011026,0.009255,0.008622,0.009456,0.013848,0.020726,0.025027,0.025131,0.017046,0.013131,0.012363,0.012357,0.014308,0.014055,0.014936,0.017282,0.025133,0.029461,0.024441,0.025966,0.026596,0.014222,0.019624,0.016224,0.019220,0.021764,0.024429,0.033993,0.032807,0.026424,0.022210,0.022856,0.017756,5.683984,5.957324,1.886188,0.543221,0.260270,0.201271,0.122645,0.094330,0.070071,0.057202,0.044130,0.035614,0.033983,0.026571,0.023947,0.019632,0.018483,0.015696,0.015494,0.013188,0.012803,0.011085,0.010365,0.010083,0.009150,0.008386,0.008089,0.007520,0.007053,0.006829,0.006419,0.006034,0.005459,0.005952,0.005771,0.005189,0.005078,0.005105,0.005012,0.005002,0.004785,0.004493,0.004391,0.005021,0.004814,0.004903,0.004468,0.004516,0.004681,0.004755,0.119822,0.054586,0.701003,0.136804,0.549186,0.089316,0.191363,0.231627,0.269606,0.160978,0.095809,0.738905,0.103914,0.264107,0.319239,0.297710,0.246302,0.295237,0.303530,0.142882,0.747742,0.056429,0.248059,0.328767,0.191748,0.092019,0.332107,0.384774,0.246558,0.150860,0.204865,0.781531,0.126141,0.070805,0.084384,0.295958,0.461077,0.305163,0.203148,0.365477,0.538609,0.285005,0.067732,0.089425,0.368141,0.518665,0.171683,0.155770,0.316367,0.499466,0.284425,0.086587,0.113386,0.475857,0.324252,0.367837,0.133714,0.163871,0.816166,0.159758,0.115065,0.078875,0.060919,0.442593,0.496956,0.258606,0.484536,0.391396,0.162198,0.170546,0.152915,0.153376,0.551373,0.202398,0.208898,0.438023,0.284358,0.095921,0.171802,0.190778,0.513367,0.064336,11.999378,2.194981,1.878536,0.855833,0.939921,0.710476
4,2642,0.865203,0.869368,0.876562,105811.982166,63,61,3070.039179,196.078357,0.440363,57.999128,0.687484,2.815773,2.628802,2.294872,62.330204,55.961279,-11.636702,244.001046,0.903056,12080222.241094,43.295082,61,62,0.860575,12109.294010,67.177254,60.343550,0.165927,0.000317,0.000115,0.000007,-0.000000,-0.000000,-0.000000,1,1.899687,0.633639,0.693320,-0.386134,2642,105811.982166,3070.039179,196.078357,62.330204,55.961279,244.001046,12109.294010,58.453208,86.591976,6.758394,0.049922,2.255480,0.011201,0.009018,0.016887,0.023196,0.026850,0.023640,0.023993,0.022541,0.023801,0.021477,0.016827,0.017772,0.019192,0.014122,0.019014,0.019045,0.021448,0.023817,0.022616,0.024350,0.031148,0.039170,0.036168,0.032086,0.026317,0.025969,0.037989,0.035567,0.030963,0.023121,0.020309,0.019614,0.022786,0.025619,0.025295,0.031518,0.026657,0.017406,0.020524,0.014124,0.011008,0.008039,0.006401,0.005252,0.005028,0.007579,0.007173,0.009257,0.008306,5.755505,5.131316,1.382417,0.455223,0.216316,0.134651,0.134043,0.103278,0.078937,0.063215,0.048974,0.038821,0.034207,0.024508,0.023214,0.022017,0.022850,0.019269,0.018119,0.014285,0.013586,0.011417,0.011063,0.009325,0.008708,0.008599,0.009513,0.008459,0.007252,0.006797,0.006632,0.006598,0.006572,0.006079,0.006071,0.006282,0.005886,0.006255,0.005802,0.005558,0.005445,0.005760,0.005482,0.005781,0.005123,0.005259,0.005071,0.005077,0.004958,0.005458,0.077386,0.090105,0.737057,0.130913,0.479173,0.081060,0.241498,0.322451,0.164396,0.088481,0.201311,0.764505,0.132843,0.148315,0.258099,0.386205,0.310417,0.124106,0.304941,0.220862,0.771197,0.081451,0.146662,0.296085,0.245952,0.088990,0.281538,0.320226,0.263480,0.168764,0.159393,0.691814,0.302280,0.209489,0.265729,0.299446,0.268742,0.369074,0.231495,0.323797,0.369029,0.508104,0.224977,0.366693,0.231722,0.451189,0.278217,0.192793,0.317511,0.390048,0.383534,0.130103,0.280379,0.431584,0.286686,0.497113,0.319710,0.102483,0.632310,0.290760,0.210762,0.103549,0.135910,0.241504,0.513634,0.535216,0.294909,0.254944,0.316345,0.233965,0.253786,0.142162,0.488629,0.157382,0.395957,0.383475,0.311099,0.149175,0.124454,0.304608,0.453129,0.044376,10.827822,1.145511,0.933599,0.815006,0.803596,0.698308
5,1819,0.749449,0.500000,0.854075,31499.206496,98,48,2748.776407,227.552815,0.897290,48.125074,0.386692,6.071048,11.237062,4.082141,77.737189,34.316394,-77.617922,239.379726,0.865964,11824320.753247,22.069152,43,98,0.661749,5967.422989,98.612959,41.279484,0.247963,0.027917,0.004558,0.001193,0.000002,0.000112,-0.000001,1,2.512473,0.759638,0.710758,0.390579,1819,31499.206496,2748.776407,227.552815,77.737189,34.316394,239.379726,5967.422989,62.276498,79.532710,6.569829,0.056287,3.140922,0.013700,0.005413,0.006751,0.007408,0.008049,0.008391,0.011058,0.015067,0.022176,0.027237,0.022972,0.023038,0.023494,0.013412,0.017625,0.016500,0.017790,0.023229,0.030605,0.044306,0.057551,0.061178,0.043394,0.032271,0.022477,0.030212,0.054153,0.051714,0.048384,0.036543,0.027708,0.023214,0.021553,0.018547,0.015986,0.017460,0.015094,0.008533,0.010668,0.007846,0.007688,0.006772,0.005761,0.005332,0.005157,0.005763,0.005013,0.005059,0.004446,2.755352,2.804536,1.666171,0.459139,0.223383,0.168682,0.124881,0.075418,0.065202,0.050918,0.046119,0.038990,0.035310,0.027070,0.028798,0.021858,0.017540,0.017738,0.016292,0.014410,0.013522,0.013054,0.011798,0.010499,0.010168,0.009819,0.009602,0.008890,0.008070,0.008351,0.008547,0.007583,0.006671,0.006791,0.006911,0.006477,0.006603,0.006168,0.005890,0.005888,0.006080,0.005922,0.006351,0.006366,0.006160,0.005661,0.005862,0.006457,0.006456,0.006275,0.055129,0.060421,0.808331,0.083627,0.410315,0.072834,0.149036,0.359735,0.087366,0.048889,0.063763,0.804506,0.090494,0.099344,0.172808,0.363599,0.396928,0.092935,0.210804,0.087335,0.821225,0.094583,0.109057,0.175893,0.365045,0.156999,0.252663,0.154161,0.134341,0.240653,0.137971,0.599885,0.101407,0.227633,0.620827,0.271748,0.081733,0.129824,0.446941,0.324893,0.171459,0.230343,0.429984,0.608651,0.182630,0.313347,0.139446,0.515463,0.328521,0.186938,0.254250,0.459760,0.263032,0.358589,0.185145,0.281274,0.581936,0.150246,0.626072,0.092378,0.139438,0.235515,0.223543,0.079622,0.245348,0.847459,0.323165,0.121592,0.087544,0.137645,0.228237,0.131740,0.405469,0.179364,0.664230,0.365124,0.152792,0.119941,0.139043,0.185861,0.370535,0.031744,7.598806,2.752738,1.850926,0.672395,0.950594,0.430944
6,5984,0.922172,0.449151,0.898975,519337.205164,134,83,6918.733810,332.467621,0.907613,87.287258,0.538033,2.666978,17.275625,2.938282,137.075245,57.545258,66.574759,393.711724,0.933961,18498245.869224,94.428571,63,136,0.864898,41032.638265,144.845999,63.486509,0.230797,0.026126,0.000039,0.000005,0.000000,0.000001,0.000000,1,2.446759,0.678866,0.655824,0.219673,5984,519337.205164,6918.733810,332.467621,137.075245,57.545258,393.711724,41032.638265,67.352718,94.445020,7.104015,0.065214,2.908453,0.008528,0.009561,0.010489,0.009636,0.010065,0.007725,0.006842,0.006325,0.007675,0.008656,0.007780,0.008539,0.010710,0.007870,0.009912,0.011569,0.020141,0.023402,0.036680,0.036894,0.028660,0.036292,0.029705,0.030538,0.030897,0.029654,0.036678,0.030484,0.038040,0.024366,0.027199,0.023991,0.028988,0.037949,0.028136,0.030693,0.031152,0.022616,0.033984,0.027028,0.025962,0.022597,0.017105,0.015478,0.014893,0.015333,0.012989,0.010395,0.007725,11.526029,5.470407,0.997517,0.440178,0.244857,0.168871,0.122560,0.092601,0.072506,0.059778,0.044945,0.040409,0.030971,0.029666,0.021954,0.021398,0.018884,0.019575,0.014996,0.015512,0.013905,0.012511,0.011903,0.010553,0.010353,0.008892,0.009153,0.008365,0.008251,0.007787,0.007471,0.007488,0.006351,0.006904,0.006105,0.005970,0.005959,0.005963,0.005421,0.005572,0.005116,0.005412,0.005204,0.005059,0.005368,0.005242,0.005189,0.004676,0.004822,0.004764,0.201355,0.193395,0.704497,0.141505,0.355431,0.142596,0.429968,0.250876,0.106006,0.115708,0.182165,0.683864,0.109946,0.084158,0.262829,0.606350,0.152582,0.081031,0.252170,0.137722,0.773413,0.088544,0.087247,0.294565,0.379356,0.114510,0.245011,0.347834,0.429154,0.453144,0.180986,0.481416,0.175840,0.363793,0.201959,0.144665,0.238978,0.460111,0.419629,0.188419,0.128367,0.316648,0.572601,0.239047,0.133553,0.346031,0.308656,0.210586,0.194293,0.208443,0.494126,0.530776,0.178564,0.318872,0.218940,0.416656,0.466708,0.163247,0.612364,0.162401,0.298307,0.161078,0.133036,0.225413,0.567410,0.603728,0.197894,0.110091,0.155439,0.341032,0.207647,0.166981,0.355758,0.412091,0.510945,0.278331,0.196200,0.265377,0.302238,0.191567,0.357935,0.038604,15.198938,5.879498,6.477602,1.101727,0.844444,0.694328
7,1790,0.832402,0.739665,0.842458,62856.200415,54,55,2123.457927,165.915854,0.652963,47.739908,0.602694,2.576341,3.533258,2.070824,57.383793,43.461905,20.292463,211.894444,0.872980,11079447.183585,35.800000,50,57,0.842965,9007.153895,58.309507,48.711447,0.180829,0.002400,0.000071,0.000010,-0.000000,0.000000,0.000000,1,2.011087,0.621391,0.656074,-0.253940,1790,62856.200415,2123.457927,165.915854,57.383793,43.461905,211.894444,9007.153895,67.078198,87.130726,6.736591,0.064718,2.914301,0.011606,0.009071,0.012500,0.011422,0.014272,0.013693,0.014963,0.016251,0.018538,0.021724,0.021086,0.029094,0.031729,0.017714,0.029135,0.024050,0.025430,0.023618,0.017529,0.016774,0.019163,0.025827,0.027969,0.030128,0.026421,0.025094,0.026527,0.026023,0.036603,0.034100,0.029856,0.028036,0.028823,0.024022,0.019540,0.022042,0.026059,0.016720,0.024346,0.021939,0.023253,0.020656,0.014080,0.009256,0.008326,0.009902,0.009901,0.009851,0.006947,3.133129,3.851399,1.552014,0.430277,0.257086,0.189821,0.120862,0.094788,0.070762,0.053511,0.042081,0.041480,0.037129,0.022704,0.020244,0.016966,0.016820,0.018250,0.018930,0.015860,0.013932,0.012274,0.009912,0.008824,0.009260,0.008965,0.008174,0.008013,0.008044,0.007098,0.006796,0.006205,0.005707,0.005336,0.006167,0.006154,0.006091,0.005597,0.005406,0.005758,0.005139,0.005193,0.004923,0.004642,0.004377,0.004482,0.004015,0.004986,0.005174,0.004966,0.075879,0.070468,0.707437,0.130054,0.545138,0.086608,0.184990,0.286119,0.226124,0.082522,0.102838,0.771447,0.115872,0.142815,0.343711,0.303223,0.289362,0.244639,0.313628,0.122302,0.780552,0.070493,0.129147,0.337801,0.185435,0.078377,0.318009,0.413671,0.202583,0.108270,0.115874,0.757989,0.125419,0.156967,0.274403,0.269206,0.418196,0.231204,0.155227,0.290153,0.422551,0.511946,0.218391,0.299109,0.292526,0.473946,0.106734,0.140170,0.263022,0.426471,0.489895,0.145614,0.129647,0.463968,0.401115,0.391226,0.234078,0.082490,0.761766,0.100572,0.144728,0.082253,0.079602,0.418777,0.468236,0.518705,0.382986,0.319196,0.193495,0.176413,0.107329,0.087615,0.518276,0.131488,0.381441,0.417725,0.357039,0.176874,0.111055,0.136979,0.451940,0.039867,8.447602,1.706208,1.371425,0.803785,0.783012,0.628070
8,10069,0.926272,0.928557,0.926272,784075.683790,170,118,13082.878474,439.756948,0.448135,113.226538,0.501944,6.856379,6.916013,6.838629,122.331429,109.360115,-79.990982,527.901587,0.948060,23798637.869653,83.866667,120,170,0.769632,57245.579906,170.660435,116.136389,0.167109,0.000348,0.000154,0.000034,0.000000,0.000001,-0.000000,1,2.067805,0.680162,0.739559,-0.178399,10069,784075.683790,13082.878474,439.756948,122.331429,109.360115,527.901587,57245.579906,64.636877,53.083126,6.468043,0.060372,7.151525,0.017521,0.009039,0.010202,0.011934,0.017317,0.023093,0.023308,0.025825,0.026242,0.021631,0.018681,0.028197,0.033779,0.019709,0.024694,0.024647,0.021442,0.013647,0.012670,0.013950,0.016051,0.027236,0.035694,0.059428,0.060784,0.034572,0.029886,0.027795,0.030420,0.026843,0.031912,0.024775,0.019531,0.017016,0.014025,0.013054,0.016934,0.013025,0.015907,0.010641,0.012215,0.010852,0.010351,0.012160,0.011394,0.010768,0.009739,0.009018,0.007968,20.902345,2.809254,0.819206,0.313355,0.192184,0.154898,0.120205,0.075930,0.064972,0.058881,0.051734,0.044791,0.040667,0.031950,0.027789,0.026797,0.022760,0.019853,0.018077,0.015648,0.015380,0.013639,0.012308,0.011353,0.010802,0.009117,0.008913,0.008499,0.008224,0.007717,0.007462,0.006657,0.006181,0.006401,0.006198,0.005522,0.005720,0.005648,0.005605,0.006188,0.006118,0.006118,0.005961,0.005985,0.005922,0.005737,0.005801,0.005719,0.005552,0.005806,0.096991,0.091895,0.645558,0.133983,0.465584,0.095505,0.126275,0.449720,0.321508,0.087343,0.097267,0.641076,0.118520,0.101510,0.252294,0.384388,0.502445,0.289348,0.220498,0.123652,0.638561,0.085724,0.170927,0.505927,0.381061,0.167867,0.249833,0.281523,0.227142,0.281730,0.128985,0.536658,0.111399,0.247586,0.458118,0.448954,0.332543,0.247506,0.245959,0.199434,0.164614,0.212379,0.226410,0.546198,0.553253,0.302531,0.109357,0.156516,0.475091,0.395924,0.547428,0.186969,0.122843,0.373932,0.278257,0.598583,0.317315,0.114372,0.521362,0.126916,0.249346,0.162952,0.271751,0.244377,0.635910,0.575706,0.250626,0.106798,0.136039,0.189246,0.136846,0.239150,0.269683,0.190565,0.525590,0.621057,0.253889,0.117991,0.154519,0.138562,0.327936,0.036131,19.073631,1.011316,1.008698,0.997411,0.833028,0.493333
9,1829,0.934498,0.931223,0.932314,60656.954658,51,49,1963.642506,157.285013,0.343492,48.257177,0.731893,1.240666,1.743343,1.415090,50.105105,47.056485,20.728275,167.438600,0.905656,8372201.140323,37.387755,49,52,0.931432,8481.000275,53.253440,48.621298,0.161367,0.000102,0.000035,0.000000,-0.000000,0.000000,0.000000,1,1.942532,0.626470,0.694738,-0.471190,1829,60656.954658,1963.642506,157.285013,50.105105,47.056485,167.438600,8481.000275,70.678733,77.610716,6.823753,0.071343,5.519012,0.011895,0.012126,0.016632,0.017364,0.021574,0.018440,0.018998,0.022024,0.026049,0.028809,0.028931,0.028365,0.026675,0.017490,0.020054,0.013207,0.015384,0.017441,0.018336,0.020173,0.026776,0.036002,0.035447,0.035717,0.025509,0.023962,0.030016,0.027249,0.026319,0.024429,0.022238,0.019246,0.017509,0.016408,0.013740,0.014833,0.017544,0.012884,0.019981,0.016052,0.018692,0.021426,0.019316,0.020855,0.018191,0.016431,0.014055,0.012454,0.008646,4.388388,5.372969,2.229900,0.531587,0.303662,0.171947,0.150922,0.073304,0.074869,0.052381,0.055214,0.033225,0.037167,0.025319,0.026447,0.020181,0.019353,0.016949,0.015687,0.013291,0.012596,0.011045,0.011220,0.009886,0.009270,0.008516,0.008936,0.007756,0.007689,0.006965,0.007306,0.006442,0.005789,0.005720,0.006175,0.005126,0.005087,0.005236,0.005884,0.005261,0.005430,0.005148,0.004881,0.004539,0.004550,0.004832,0.004590,0.004327,0.004534,0.004976,0.063509,0.071749,0.742918,0.104271,0.496877,0.072519,0.204087,0.255295,0.262764,0.072013,0.119139,0.774140,0.085781,0.156663,0.280960,0.363029,0.271887,0.254506,0.333505,0.139379,0.786195,0.067133,0.160849,0.305794,0.253015,0.095385,0.232895,0.382677,0.151473,0.152210,0.179640,0.710558,0.108399,0.136150,0.232691,0.431102,0.386138,0.194732,0.208001,0.381398,0.398087,0.399227,0.245308,0.261081,0.421962,0.462618,0.156742,0.170972,0.341577,0.412419,0.457897,0.226867,0.152259,0.401369,0.381972,0.349228,0.324467,0.173567,0.722394,0.113152,0.147685,0.148944,0.134460,0.361687,0.353132,0.593264,0.429355,0.268017,0.125179,0.218294,0.223015,0.152578,0.428204,0.143263,0.468591,0.424868,0.285106,0.139328,0.191551,0.193328,0.470381,0.065238,10.923407,1.231966,1.405167,1.140589,0.939359,0.718995
10,2880,0.899478,0.488696,0.913391,63876.928927,121,56,3492.361132,278.722264,0.935253,60.555181,0.425030,1.893179,17.523071,1.876351,104.006455,36.816135,-71.320509,298.770599,0.893922,15201182.914597,28.256319,41,126,0.824657,9342.609230,132.502779,40.729741,0.264074,0.042134,0.000102,0.000097,0.000000,0.000019,0.000000,1,2.474938,0.791693,0.726798,0.443568,2880,63876.928927,3492.361132,278.722264,104.006455,36.816135,298.770599,9342.609230,63.365180,103.978472,6.856956,0.058157,1.376761,0.009991,0.004055,0.005118,0.005513,0.006039,0.005623,0.006560,0.008325,0.011100,0.013542,0.013548,0.017624,0.032056,0.035015,0.061269,0.071224,0.082602,0.080417,0.056364,0.047123,0.036347,0.048567,0.051889,0.060352,0.046665,0.024972,0.021272,0.016049,0.016046,0.013777,0.011090,0.008198,0.006691,0.007548,0.005374,0.005554,0.005260,0.004164,0.004650,0.003771,0.004315,0.004675,0.004646,0.004410,0.004011,0.004419,0.004241,0.004157,0.003772,4.330642,3.497987,1.813079,0.384493,0.291359,0.180403,0.107704,0.093910,0.072615,0.056076,0.048036,0.038956,0.035967,0.028507,0.025233,0.018817,0.016915,0.017060,0.012665,0.012377,0.012194,0.010801,0.010340,0.010435,0.009220,0.009077,0.008676,0.008129,0.007569,0.007560,0.006580,0.006455,0.005971,0.005711,0.005946,0.005987,0.005929,0.005794,0.005690,0.005857,0.005210,0.004996,0.004766,0.004730,0.004582,0.004356,0.004530,0.004714,0.005223,0.004697,0.045841,0.058553,0.818503,0.075000,0.385410,0.064547,0.116739,0.379932,0.090635,0.068785,0.119260,0.800140,0.100420,0.112733,0.166557,0.300203,0.435395,0.102935,0.206756,0.127822,0.809399,0.166550,0.133655,0.171802,0.303270,0.257597,0.228777,0.112664,0.189580,0.414650,0.160600,0.485706,0.105623,0.306581,0.607945,0.207322,0.120509,0.225057,0.576801,0.332698,0.152316,0.189514,0.350056,0.535743,0.150874,0.307993,0.187383,0.517304,0.440283,0.216869,0.221620,0.275729,0.329489,0.357543,0.115940,0.270867,0.636526,0.162179,0.510163,0.104668,0.295251,0.305272,0.173594,0.106060,0.220219,0.792728,0.332724,0.100795,0.110254,0.306188,0.270049,0.110174,0.423729,0.145824,0.513198,0.441569,0.146887,0.128639,0.180673,0.205828,0.477179,0.032264,9.639503,9.338907,9.255895,0.991111,0.932897,0.556523
