roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,3301,0.896761,0.871935,0.902210,147541.495584,96,69,4414.039791,253.079582,0.437682,64.830269,0.498339,3.921243,3.033434,3.728956,70.147684,63.071882,65.755009,283.906638,0.910659,13936841.401128,43.460526,77,81,0.747841,15685.075604,99.402102,68.762163,0.168435,0.000318,0.000114,0.000018,0.000000,0.000000,-0.000000,1,2.168887,0.662341,0.712223,-0.159748,3301,147541.495584,4414.039791,253.079582,70.147684,63.071882,283.906638,15685.075604,59.946144,94.469555,6.867574,0.052370,1.897978,0.010129,0.012980,0.016461,0.015922,0.019604,0.021849,0.022165,0.022217,0.026060,0.030549,0.023010,0.030846,0.036937,0.021401,0.033749,0.029854,0.028636,0.025107,0.022998,0.025886,0.028504,0.033679,0.036438,0.037904,0.021822,0.012657,0.018059,0.015856,0.020961,0.018962,0.017383,0.019286,0.023143,0.023141,0.017411,0.014473,0.013808,0.010531,0.010861,0.009885,0.015888,0.017636,0.014930,0.014062,0.013231,0.014697,0.013711,0.013328,0.011527,6.984683,4.936098,1.187386,0.356458,0.203064,0.136461,0.131978,0.094065,0.075234,0.059752,0.049790,0.033760,0.031881,0.026798,0.023192,0.018099,0.018304,0.016525,0.014024,0.014163,0.014008,0.013354,0.013211,0.011445,0.010646,0.010213,0.009714,0.008315,0.008428,0.008034,0.007675,0.006977,0.007095,0.007335,0.007069,0.006407,0.006159,0.006915,0.006329,0.006315,0.005956,0.005986,0.005699,0.005738,0.005724,0.005852,0.005544,0.005788,0.006070,0.006363,0.145311,0.113981,0.666365,0.145777,0.511015,0.106983,0.163965,0.343923,0.287836,0.181691,0.176335,0.685553,0.164555,0.179931,0.326582,0.334512,0.345825,0.261358,0.310043,0.155027,0.711849,0.124611,0.226286,0.363358,0.286532,0.092139,0.289409,0.307948,0.276383,0.284067,0.188806,0.629528,0.153201,0.206683,0.233483,0.442073,0.331449,0.337537,0.312598,0.406787,0.278821,0.303927,0.333417,0.248395,0.412354,0.374356,0.207408,0.203816,0.429579,0.448983,0.314285,0.288019,0.165299,0.424406,0.266689,0.369895,0.408139,0.147739,0.667757,0.141366,0.224330,0.182784,0.232445,0.249760,0.383546,0.560846,0.474970,0.165363,0.141391,0.302733,0.213415,0.256586,0.390979,0.168622,0.372593,0.534944,0.288203,0.103202,0.235387,0.186974,0.457856,0.040954,11.627062,0.813481,0.773590,0.950963,0.891418,0.529582
2,4702,0.824353,0.676940,0.814871,128709.622588,106,97,6771.637654,311.275308,0.762747,77.374236,0.457304,4.021581,7.804586,3.874403,101.565734,65.682298,-45.879803,510.700577,0.882210,25623706.059598,34.866424,81,106,0.694367,15489.659989,117.334591,81.789761,0.194421,0.006361,0.000731,0.000009,0.000000,0.000001,-0.000000,1,2.025169,0.688411,0.714990,-0.114557,4702,128709.622588,6771.637654,311.275308,101.565734,65.682298,510.700577,15489.659989,74.135669,108.255211,7.090720,0.077936,2.408185,0.008687,0.016447,0.019454,0.019765,0.021565,0.022063,0.025343,0.027364,0.026156,0.024492,0.021578,0.024399,0.024301,0.017492,0.027678,0.026957,0.028089,0.025498,0.029181,0.034353,0.033330,0.028866,0.030610,0.033411,0.027196,0.024655,0.026405,0.020504,0.026768,0.027100,0.019697,0.015108,0.017794,0.015078,0.012779,0.013072,0.014489,0.010437,0.012048,0.008242,0.008904,0.008728,0.011058,0.015021,0.016273,0.019562,0.014812,0.013923,0.011954,6.333402,2.653715,0.420829,0.209912,0.201326,0.154474,0.121853,0.108855,0.065018,0.056985,0.046726,0.036716,0.036157,0.027798,0.024609,0.021324,0.017938,0.015171,0.014272,0.011987,0.010630,0.011576,0.011250,0.011982,0.010064,0.009406,0.009975,0.009265,0.008676,0.007668,0.007400,0.008098,0.007303,0.007146,0.006774,0.006149,0.006119,0.006203,0.006294,0.006140,0.006088,0.005849,0.005854,0.005536,0.006286,0.005796,0.006170,0.006157,0.006178,0.006443,0.081396,0.092363,0.680527,0.136040,0.550596,0.116862,0.189336,0.320965,0.218037,0.064401,0.071684,0.681910,0.352018,0.163068,0.150692,0.238585,0.451446,0.302934,0.223035,0.075546,0.693717,0.380285,0.155179,0.125410,0.175263,0.310005,0.389947,0.217641,0.203423,0.270737,0.161463,0.590167,0.192923,0.268903,0.447343,0.392352,0.135017,0.170266,0.456868,0.379756,0.175427,0.233315,0.421871,0.500474,0.293558,0.243783,0.106762,0.510979,0.418935,0.177805,0.193797,0.465172,0.330236,0.312973,0.220534,0.332562,0.526240,0.154763,0.564675,0.160067,0.234470,0.252674,0.276742,0.152536,0.299556,0.667299,0.331264,0.149106,0.201779,0.393093,0.255496,0.221869,0.329784,0.147154,0.531678,0.357119,0.177196,0.199374,0.487849,0.180599,0.342945,0.018028,9.206960,2.014397,1.940676,0.963403,0.609506,0.540415
3,1780,0.956814,0.836231,0.966910,64671.910069,57,41,1860.766521,154.533043,0.636899,47.606369,0.761660,0.984101,3.783378,0.954776,54.321044,41.878668,-86.454306,160.917785,0.905247,8395429.481264,43.487805,41,57,0.956595,8634.440203,57.870524,41.000000,0.165097,0.001764,0.000006,0.000000,0.000000,0.000000,-0.000000,1,1.991627,0.628654,0.695409,-0.382242,1780,64671.910069,1860.766521,154.533043,54.321044,41.878668,160.917785,8634.440203,67.660736,107.294382,7.021353,0.065773,1.562784,0.009106,0.014500,0.017744,0.016773,0.016800,0.016644,0.016890,0.015076,0.016318,0.016858,0.014525,0.016389,0.017869,0.012010,0.021328,0.020334,0.028102,0.033205,0.032615,0.036113,0.040537,0.047043,0.044041,0.048564,0.039856,0.031711,0.028277,0.022346,0.021776,0.017233,0.016974,0.018414,0.022044,0.024146,0.020549,0.019906,0.021565,0.012195,0.016117,0.009776,0.011161,0.010660,0.008833,0.008272,0.009785,0.012872,0.013068,0.012718,0.009464,3.901870,5.030073,2.401321,0.710455,0.279071,0.178699,0.139183,0.097436,0.061149,0.057627,0.053114,0.038704,0.029514,0.024861,0.028074,0.019793,0.017087,0.015743,0.016211,0.013878,0.011203,0.010664,0.011968,0.009846,0.008472,0.007892,0.008836,0.008053,0.006922,0.006774,0.007084,0.007036,0.005796,0.005690,0.006291,0.005610,0.005447,0.004749,0.005415,0.005327,0.004621,0.004509,0.004576,0.004660,0.004287,0.004090,0.004734,0.004810,0.004343,0.004085,0.092163,0.084221,0.764450,0.112424,0.461643,0.064363,0.233228,0.313603,0.131870,0.089690,0.122040,0.803354,0.128835,0.130875,0.196225,0.352967,0.348876,0.114685,0.267053,0.119372,0.837261,0.121387,0.103678,0.229528,0.219038,0.121520,0.269284,0.336888,0.275420,0.260394,0.149192,0.687981,0.175237,0.189185,0.329090,0.269200,0.307523,0.292255,0.436733,0.343842,0.261276,0.339529,0.315905,0.414276,0.236825,0.450649,0.117579,0.355798,0.410599,0.234122,0.348581,0.280692,0.212751,0.433049,0.296833,0.370460,0.374763,0.119564,0.701588,0.210296,0.190416,0.127591,0.175833,0.301186,0.385354,0.673268,0.311138,0.158460,0.214728,0.278639,0.167203,0.184058,0.432638,0.109206,0.482056,0.388465,0.175258,0.164993,0.235824,0.146320,0.531650,0.068740,11.061549,3.962581,3.844501,0.970201,0.960323,0.762944
4,1985,0.901862,0.446905,0.947157,112692.331876,105,32,2234.157789,221.315578,0.939053,50.273059,0.590774,2.341936,15.167776,0.839016,87.042825,29.922945,89.168805,231.888348,0.873826,12663628.693513,62.093750,32,105,0.888478,18463.106242,105.018913,31.412781,0.266611,0.044207,0.000257,0.000031,0.000000,-0.000001,-0.000000,1,2.496150,0.772060,0.705513,0.429820,1985,112692.331876,2234.157789,221.315578,87.042825,29.922945,231.888348,18463.106242,59.933547,98.536524,6.646901,0.052349,1.498506,0.011689,0.001606,0.001931,0.001858,0.002133,0.002121,0.002240,0.002350,0.002904,0.003462,0.003690,0.004733,0.007448,0.006272,0.008962,0.011217,0.019340,0.028399,0.036916,0.052911,0.074032,0.079898,0.070095,0.070496,0.066879,0.066907,0.073127,0.069892,0.061980,0.031582,0.023907,0.021761,0.018957,0.014842,0.011599,0.008895,0.006978,0.003630,0.003777,0.002840,0.002729,0.002480,0.002190,0.001861,0.001669,0.001919,0.001602,0.001598,0.001384,2.686142,2.956182,1.824458,0.797677,0.214437,0.185734,0.159729,0.082253,0.068115,0.067308,0.050481,0.033430,0.035741,0.029233,0.021541,0.019908,0.019921,0.015555,0.013457,0.013396,0.013090,0.011452,0.011063,0.010179,0.009153,0.008263,0.007862,0.007447,0.007148,0.006239,0.006060,0.006317,0.005985,0.005213,0.005416,0.005297,0.004551,0.004478,0.004840,0.004861,0.004472,0.004513,0.004890,0.004524,0.004312,0.004609,0.004590,0.004514,0.004681,0.004755,0.050510,0.084120,0.826448,0.084436,0.311593,0.047864,0.223767,0.385771,0.044208,0.054170,0.104404,0.806830,0.085439,0.046935,0.097568,0.477642,0.294791,0.033523,0.158206,0.119732,0.825437,0.087116,0.049796,0.114067,0.476541,0.068863,0.156123,0.095353,0.531533,0.279362,0.089931,0.435257,0.127944,0.334949,0.546348,0.075775,0.076470,0.384448,0.484160,0.151859,0.071250,0.184576,0.621311,0.400446,0.057878,0.192348,0.177410,0.535832,0.206407,0.102758,0.183819,0.697391,0.166422,0.208344,0.093200,0.713700,0.269589,0.074173,0.565317,0.168578,0.167358,0.135375,0.097089,0.076672,0.532335,0.722142,0.149424,0.093284,0.177460,0.282662,0.198681,0.085777,0.251078,0.154168,0.765183,0.231668,0.138494,0.141845,0.273616,0.213703,0.337907,0.036915,8.560154,18.078062,6.476598,0.358257,0.954406,0.591369
5,3727,0.945220,0.671858,0.926423,114797.398376,115,63,4802.529484,277.058969,0.814967,68.886601,0.514424,3.940245,13.729361,4.145443,91.900472,53.257009,68.940410,298.906638,0.922757,13400937.131249,39.229882,58,116,0.776049,12030.150429,117.084924,58.851867,0.189143,0.008844,0.000107,0.000048,0.000000,0.000003,0.000000,1,2.239991,0.707361,0.720878,0.122616,3727,114797.398376,4802.529484,277.058969,91.900472,53.257009,298.906638,12030.150429,74.503271,117.986316,7.189114,0.078649,0.624279,0.007779,0.004651,0.006873,0.007364,0.009378,0.008920,0.009761,0.009655,0.011298,0.012219,0.010470,0.015585,0.022404,0.013557,0.017329,0.015671,0.019475,0.020587,0.016733,0.020581,0.024976,0.033794,0.041839,0.052077,0.048308,0.037578,0.033208,0.026282,0.029163,0.028309,0.037190,0.047927,0.051970,0.048185,0.040933,0.031151,0.023158,0.015090,0.017915,0.015619,0.013172,0.009795,0.007226,0.006093,0.005559,0.005990,0.005311,0.005419,0.004252,8.512020,5.372018,1.329281,0.401722,0.258515,0.154667,0.096773,0.088015,0.065260,0.055384,0.046374,0.036862,0.030035,0.025904,0.024254,0.022866,0.020841,0.020347,0.016892,0.014672,0.013640,0.012601,0.012151,0.013131,0.012765,0.011716,0.010917,0.009613,0.008690,0.009088,0.009309,0.009298,0.008978,0.009190,0.008030,0.007574,0.007602,0.007551,0.007965,0.008020,0.007505,0.007786,0.006976,0.007196,0.006711,0.007026,0.007380,0.007710,0.007494,0.007757,0.158607,0.143331,0.766619,0.149218,0.383348,0.126245,0.275035,0.258073,0.197965,0.210411,0.182587,0.738081,0.159259,0.086028,0.280213,0.416200,0.239074,0.189641,0.308047,0.176388,0.744686,0.127696,0.083116,0.359119,0.344509,0.078335,0.205992,0.278871,0.425367,0.333841,0.158175,0.556522,0.324910,0.301039,0.202168,0.240924,0.383688,0.445823,0.293176,0.186423,0.161427,0.457398,0.425775,0.237729,0.245455,0.515014,0.260535,0.178550,0.282024,0.240387,0.463564,0.391201,0.206236,0.295319,0.193263,0.475303,0.230949,0.126955,0.685323,0.334632,0.249013,0.126654,0.087090,0.275534,0.599854,0.462278,0.161270,0.142591,0.291704,0.397629,0.209981,0.130085,0.471464,0.366551,0.432684,0.279701,0.235074,0.176363,0.334059,0.247089,0.344820,0.041715,12.468776,3.311916,3.484393,1.052078,0.926908,0.553508
6,2635,0.806146,0.413126,0.908574,169613.801969,116,42,3148.377596,251.755193,0.935819,57.922243,0.540846,4.227346,15.235579,1.921083,100.520718,35.431724,88.071310,281.758405,0.888312,14578637.400073,62.761905,42,116,0.836939,23113.937862,116.068934,41.269882,0.269343,0.044021,0.001171,0.000100,-0.000000,-0.000018,-0.000000,1,2.591182,0.743695,0.694025,0.431660,2635,169613.801969,3148.377596,251.755193,100.520718,35.431724,281.758405,23113.937862,59.501848,123.110057,6.730022,0.051636,-0.826781,0.011169,0.003369,0.004574,0.004553,0.004956,0.004939,0.005333,0.005358,0.005891,0.006796,0.007366,0.009642,0.011848,0.008275,0.014736,0.019421,0.032778,0.048346,0.045833,0.041350,0.030931,0.036499,0.053018,0.071456,0.065663,0.063442,0.048896,0.049909,0.058340,0.038855,0.022794,0.017081,0.017213,0.020541,0.019294,0.018849,0.018311,0.009061,0.009860,0.006316,0.005381,0.004604,0.004442,0.004472,0.004336,0.004154,0.003844,0.003982,0.003094,3.722983,3.478810,1.899685,0.540293,0.237558,0.197069,0.109839,0.077133,0.082055,0.058788,0.053777,0.043771,0.032607,0.027795,0.025978,0.020548,0.018174,0.017030,0.015202,0.013542,0.012827,0.011790,0.011529,0.010680,0.009888,0.008130,0.008602,0.008186,0.006814,0.007165,0.007728,0.006863,0.006564,0.006814,0.006374,0.005387,0.005964,0.005941,0.004997,0.004960,0.005114,0.004551,0.004680,0.005097,0.004652,0.004922,0.004835,0.004708,0.004816,0.004608,0.059653,0.129835,0.798488,0.100300,0.320308,0.069962,0.279732,0.378194,0.056283,0.061887,0.183391,0.828599,0.088157,0.054565,0.189005,0.390046,0.275652,0.036989,0.200578,0.148867,0.884198,0.083961,0.077055,0.212193,0.225704,0.090109,0.196790,0.087676,0.479862,0.445779,0.115410,0.396340,0.103602,0.369909,0.485252,0.099423,0.067498,0.367928,0.607107,0.154465,0.065432,0.237718,0.536177,0.335461,0.082595,0.217345,0.237540,0.569997,0.177943,0.099560,0.315264,0.575458,0.149218,0.277585,0.088750,0.578351,0.473912,0.086053,0.531439,0.123594,0.282798,0.192249,0.104863,0.054987,0.390375,0.727289,0.166055,0.077406,0.144213,0.443366,0.233294,0.101339,0.238340,0.211547,0.650621,0.192770,0.096437,0.179245,0.537649,0.188798,0.268017,0.033191,9.351984,7.930725,3.604053,0.454442,0.893514,0.541051
7,10373,0.923700,0.843831,0.935082,856306.396683,148,129,13015.643767,414.287534,0.527555,114.923078,0.543317,3.265453,5.621891,2.927815,126.430158,107.405074,-10.553233,605.026479,0.941197,27405757.475331,70.523810,148,130,0.796964,57950.324184,149.343136,120.619024,0.165802,0.000718,0.000013,0.000001,-0.000000,-0.000000,-0.000000,1,1.910595,0.651190,0.725308,-0.404275,10373,856306.396683,13015.643767,414.287534,126.430158,107.405074,605.026479,57950.324184,60.976656,43.932131,6.327628,0.054088,6.937556,0.020692,0.009879,0.017400,0.015934,0.017500,0.018451,0.023064,0.026413,0.024040,0.024397,0.020266,0.021568,0.026175,0.020899,0.028155,0.021608,0.023069,0.030711,0.031036,0.028086,0.023265,0.025442,0.021943,0.021330,0.013038,0.017036,0.022218,0.024425,0.028982,0.022053,0.018768,0.018022,0.017882,0.018419,0.018561,0.020223,0.024488,0.018876,0.021020,0.014310,0.017769,0.016979,0.016631,0.023278,0.025643,0.020729,0.016190,0.015881,0.007948,18.859990,2.394577,0.571661,0.243647,0.187550,0.127625,0.117925,0.088942,0.073856,0.052066,0.044636,0.038415,0.039521,0.031420,0.028356,0.024495,0.021254,0.018582,0.015922,0.015140,0.015476,0.013485,0.013935,0.013723,0.011916,0.009402,0.009553,0.008941,0.008734,0.008907,0.008855,0.008301,0.007612,0.007076,0.007346,0.007600,0.007583,0.007559,0.006872,0.006350,0.006245,0.006040,0.006052,0.006065,0.005903,0.005841,0.005664,0.006295,0.006598,0.006184,0.103196,0.079711,0.592865,0.086159,0.463340,0.077910,0.206158,0.546050,0.250316,0.047477,0.099991,0.637314,0.083407,0.152177,0.359203,0.444264,0.462757,0.104507,0.284032,0.135591,0.623311,0.085404,0.246308,0.478432,0.365521,0.084243,0.273609,0.539064,0.131316,0.118175,0.087138,0.634208,0.102798,0.145279,0.301918,0.381522,0.087437,0.132224,0.211327,0.423833,0.425874,0.599156,0.268311,0.320597,0.188274,0.348535,0.089692,0.101935,0.453788,0.480865,0.489172,0.120110,0.111843,0.395863,0.490823,0.468542,0.375003,0.104338,0.564922,0.132461,0.163979,0.110195,0.111044,0.105661,0.464977,0.680999,0.473390,0.106584,0.115707,0.186060,0.152364,0.046826,0.350056,0.115564,0.379358,0.688798,0.260019,0.147400,0.118722,0.158350,0.342408,0.028337,17.144704,1.920166,1.721627,0.896603,0.684743,0.538825
8,10062,0.927840,0.899513,0.937978,782033.517665,136,130,11772.526762,395.053524,0.387521,113.187174,0.569118,3.887210,4.374456,3.680553,119.889491,110.521408,8.290382,477.179762,0.952313,22226687.317434,74.525926,135,128,0.854702,49855.475588,136.296519,114.608953,0.165138,0.000180,0.000024,0.000004,0.000000,-0.000000,0.000000,1,1.901736,0.637090,0.698630,-0.385448,10062,782033.517665,11772.526762,395.053524,119.889491,110.521408,477.179762,49855.475588,63.476201,54.132777,6.552007,0.058349,6.131238,0.016131,0.014455,0.018169,0.020015,0.022095,0.017371,0.017213,0.022694,0.033325,0.032637,0.020338,0.026961,0.025398,0.015464,0.022069,0.022278,0.023156,0.024706,0.018232,0.016604,0.018475,0.020840,0.021760,0.020594,0.014987,0.014473,0.017505,0.018333,0.017926,0.012985,0.014546,0.018965,0.028811,0.031451,0.036071,0.044210,0.045425,0.031430,0.032625,0.018780,0.014615,0.014950,0.009527,0.009520,0.010361,0.010437,0.010665,0.013907,0.012645,22.416517,3.149332,0.906442,0.378738,0.225122,0.178805,0.125821,0.086579,0.067890,0.054628,0.048337,0.037441,0.034547,0.028266,0.026885,0.021473,0.019028,0.016693,0.014682,0.013513,0.012600,0.011141,0.012246,0.010929,0.009989,0.009197,0.008851,0.007618,0.007861,0.007555,0.007592,0.007240,0.006894,0.006860,0.006742,0.006267,0.006055,0.005574,0.005452,0.005798,0.005283,0.005108,0.005221,0.005519,0.004929,0.005016,0.005077,0.005155,0.004939,0.005040,0.086598,0.095716,0.590560,0.105371,0.463622,0.081572,0.290141,0.363847,0.430474,0.069474,0.102157,0.634245,0.100425,0.093017,0.458411,0.416517,0.357410,0.228830,0.314619,0.116475,0.563124,0.080110,0.186548,0.639240,0.232970,0.086955,0.242194,0.382852,0.345703,0.132835,0.086000,0.620853,0.108649,0.164506,0.180542,0.501947,0.154593,0.403429,0.268850,0.531172,0.209452,0.467688,0.278169,0.232648,0.254587,0.332794,0.089477,0.137552,0.536567,0.358234,0.531138,0.133776,0.084009,0.372858,0.404950,0.628390,0.177157,0.091676,0.593164,0.118691,0.108052,0.088169,0.126377,0.192301,0.636551,0.442241,0.546254,0.141129,0.116553,0.129855,0.097661,0.062846,0.287107,0.107570,0.337961,0.740053,0.241094,0.110430,0.117168,0.113879,0.383515,0.044190,21.086393,1.188532,1.125346,0.946837,0.827892,0.582234
9,2251,0.886945,0.748318,0.892777,90444.227202,59,59,2592.719276,183.438553,0.703959,53.535616,0.646653,2.175656,5.178639,1.847834,65.213415,46.317218,43.729207,225.137085,0.895820,11214725.666133,45.489796,49,63,0.868200,11225.109981,69.892702,49.409410,0.177566,0.003421,0.000022,0.000009,-0.000000,-0.000000,-0.000000,1,2.033855,0.629379,0.673486,-0.225052,2251,90444.227202,2592.719276,183.438553,65.213415,46.317218,225.137085,11225.109981,72.765430,101.166593,6.995174,0.075296,3.356632,0.010226,0.023280,0.031124,0.026043,0.023144,0.016548,0.015791,0.015655,0.014905,0.013008,0.011864,0.014878,0.019911,0.014506,0.025619,0.021924,0.024935,0.024995,0.022413,0.022811,0.024795,0.028992,0.024019,0.027130,0.023831,0.026948,0.027242,0.025246,0.022901,0.016342,0.015001,0.016302,0.016446,0.017136,0.015874,0.019666,0.021894,0.015976,0.024378,0.021909,0.024441,0.022459,0.021065,0.020866,0.021474,0.023975,0.018536,0.018335,0.013465,4.566394,4.492557,1.214415,0.396508,0.312140,0.198599,0.104478,0.098099,0.060914,0.045376,0.042299,0.036556,0.036342,0.031029,0.025726,0.020102,0.019770,0.016047,0.016737,0.013521,0.016269,0.011494,0.011540,0.009536,0.009005,0.009177,0.009529,0.009171,0.008232,0.006740,0.006264,0.006332,0.006008,0.006451,0.006523,0.005788,0.005128,0.005626,0.005212,0.005131,0.005284,0.005643,0.005323,0.005081,0.004951,0.004566,0.004874,0.004574,0.004804,0.005297,0.131717,0.120675,0.723899,0.123228,0.531823,0.082756,0.241134,0.216333,0.185049,0.141685,0.137382,0.781626,0.106190,0.089699,0.276395,0.405987,0.234559,0.185881,0.312465,0.117601,0.784841,0.075153,0.074787,0.297235,0.298657,0.109177,0.268054,0.321322,0.258715,0.143547,0.124832,0.694186,0.119504,0.297196,0.285048,0.357596,0.336756,0.249106,0.170322,0.265131,0.293269,0.431627,0.501851,0.298634,0.334503,0.448293,0.126207,0.144193,0.288357,0.331167,0.510570,0.375255,0.139803,0.385289,0.293415,0.418189,0.151930,0.120021,0.771880,0.133597,0.161233,0.131119,0.211425,0.321578,0.464691,0.399318,0.466291,0.318792,0.218229,0.230147,0.214741,0.235442,0.413568,0.169202,0.366634,0.474331,0.324757,0.210495,0.169123,0.199085,0.472130,0.044410,9.998353,2.802546,2.380266,0.849323,0.814786,0.722060
10,9658,0.937947,0.937947,0.937947,728146.826076,121,111,10695.676463,370.352926,0.312603,110.891603,0.719083,2.861967,2.800413,2.839214,114.247217,108.521585,77.127586,411.067063,0.958068,18646109.023546,83.215517,116,122,0.902982,47771.438833,127.423749,111.000000,0.160662,0.000068,0.000052,0.000000,0.000000,0.000000,0.000000,1,1.928966,0.634565,0.700290,-0.461277,9658,728146.826076,10695.676463,370.352926,114.247217,108.521585,411.067063,47771.438833,58.686741,46.212777,6.350578,0.050302,5.996641,0.019704,0.008583,0.010727,0.012966,0.024749,0.026987,0.028040,0.022845,0.021134,0.017634,0.012588,0.015469,0.021752,0.017420,0.023636,0.021720,0.019612,0.026417,0.018150,0.020205,0.031072,0.041309,0.042478,0.041324,0.023290,0.013996,0.012741,0.009782,0.009696,0.009092,0.011697,0.017290,0.020618,0.025318,0.026050,0.032783,0.039080,0.028210,0.030514,0.021026,0.025780,0.025526,0.021182,0.016178,0.013369,0.011672,0.008884,0.010499,0.008910,25.958936,4.171753,1.119039,0.392701,0.219118,0.150132,0.133730,0.089288,0.065243,0.056819,0.052507,0.039830,0.032102,0.025647,0.028778,0.023703,0.019999,0.018082,0.017340,0.016121,0.013914,0.011948,0.012504,0.011631,0.010496,0.008922,0.009324,0.009101,0.008508,0.007726,0.007933,0.007550,0.006624,0.006254,0.005988,0.006305,0.006281,0.005805,0.005618,0.005450,0.005555,0.005480,0.004904,0.005358,0.005277,0.004952,0.004809,0.004928,0.005054,0.005161,0.096997,0.093282,0.605120,0.120398,0.438142,0.086091,0.293036,0.413139,0.381170,0.043500,0.088129,0.652508,0.093964,0.075108,0.406609,0.468367,0.400002,0.073512,0.279332,0.104906,0.635898,0.083825,0.187165,0.576783,0.266801,0.104720,0.222971,0.464454,0.125221,0.142397,0.136542,0.603546,0.141305,0.122849,0.149451,0.554995,0.132198,0.216959,0.410996,0.328956,0.247332,0.603392,0.384422,0.260783,0.131448,0.377283,0.116351,0.185351,0.339891,0.492017,0.539867,0.164085,0.120735,0.345254,0.404189,0.545342,0.344312,0.108749,0.572632,0.151466,0.121524,0.095340,0.184789,0.066001,0.432855,0.818887,0.240055,0.096183,0.126775,0.166263,0.148361,0.071413,0.308291,0.092783,0.631327,0.450200,0.323765,0.145989,0.149656,0.165900,0.345018,0.057156,23.494950,0.986334,0.978492,0.992050,0.900955,0.682094
