roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,482,0.939834,0.919087,0.943983,8380.329303,27,24,505.846802,77.693603,0.425807,24.772999,0.743827,1.300626,1.107152,1.191430,26.126453,23.639585,-89.330532,81.597980,0.821012,4486539.270036,20.083333,24,27,0.952858,2127.542314,27.458050,24.000000,0.160639,0.000256,0.000031,0.000000,-0.000000,0.000000,0.000000,1,1.943781,0.613395,0.686231,-0.474280,482.000000,8380.329303,505.846802,77.693603,26.126453,23.639585,81.597980,2127.542314,54.433841,100.278008,5.845506,0.043582,-0.861971,0.024199,0.011641,0.015537,0.016746,0.020620,0.020515,0.021920,0.022358,0.022565,0.021223,0.017797,0.021202,0.028132,0.017011,0.025541,0.022614,0.029913,0.031630,0.029073,0.027456,0.029505,0.035468,0.032268,0.035398,0.026666,0.023695,0.029984,0.026027,0.026091,0.020315,0.017706,0.017899,0.019001,0.019494,0.016497,0.018463,0.021367,0.015698,0.018287,0.014352,0.015393,0.014730,0.012476,0.012285,0.011996,0.012789,0.011308,0.011619,0.009729,0.676497,1.437854,1.698847,1.156002,0.559156,0.148141,0.127554,0.117571,0.084425,0.046048,0.042907,0.041649,0.035650,0.023164,0.021718,0.021972,0.020429,0.015369,0.013475,0.013321,0.013318,0.010952,0.009144,0.009104,0.009696,0.008446,0.007122,0.006945,0.007765,0.007533,0.006219,0.005267,0.005712,0.005862,0.005267,0.004713,0.005109,0.005095,0.004382,0.004153,0.004273,0.004454,0.004356,0.004393,0.004117,0.003926,0.004248,0.004920,0.004888,0.004385,0.052078,0.039024,0.825740,0.065722,0.500959,0.057193,0.118024,0.180909,0.093319,0.043797,0.036192,0.931314,0.037445,0.078865,0.165056,0.216148,0.194384,0.100270,0.267276,0.074881,0.893633,0.049567,0.077728,0.156388,0.141383,0.051075,0.262337,0.169698,0.231067,0.123301,0.049944,0.845987,0.054059,0.187187,0.306377,0.229320,0.219883,0.292604,0.287217,0.304032,0.353004,0.338069,0.438894,0.413987,0.296958,0.433245,0.068276,0.208252,0.299104,0.323399,0.323202,0.263016,0.081872,0.624400,0.172253,0.314711,0.212801,0.084149,0.884311,0.046155,0.075624,0.075380,0.152906,0.258855,0.482469,0.566430,0.419835,0.343623,0.105694,0.096043,0.105997,0.231085,0.501498,0.091648,0.310133,0.329852,0.281299,0.130654,0.083450,0.087367,0.651394,0.072392,5.907009,0.929263,0.851245,0.916044,0.952151,0.743827
2,8087,0.912893,0.896684,0.908686,550144.055424,117,108,9779.918892,353.837783,0.265376,101.472598,0.639997,3.030250,3.237213,3.361536,104.628752,100.877298,31.832650,454.238636,0.945856,19964693.087807,69.672414,117,110,0.826898,44107.701232,119.566642,106.654549,0.163231,0.000035,0.000034,0.000001,-0.000000,0.000000,-0.000000,1,1.901948,0.635178,0.693212,-0.403992,8087.000000,550144.055424,9779.918892,353.837783,104.628752,100.877298,454.238636,44107.701232,59.302129,79.822060,7.014094,0.051308,2.206880,0.009125,0.013942,0.016666,0.013014,0.015486,0.015186,0.014331,0.016003,0.016876,0.018630,0.015993,0.017339,0.019559,0.016251,0.018521,0.018090,0.020107,0.025904,0.023564,0.024051,0.028721,0.042120,0.044367,0.049155,0.034383,0.022832,0.028091,0.020173,0.020886,0.022485,0.026222,0.029567,0.027503,0.023800,0.020615,0.020113,0.016637,0.010991,0.013242,0.012109,0.013339,0.015019,0.013265,0.017729,0.018454,0.024244,0.019865,0.013885,0.010675,18.839497,3.514272,0.795184,0.403191,0.246970,0.122566,0.114170,0.096875,0.076128,0.064857,0.055536,0.035701,0.038694,0.028883,0.027253,0.023209,0.019789,0.017919,0.016672,0.014466,0.014720,0.014063,0.011327,0.011633,0.010705,0.009442,0.010328,0.009696,0.009214,0.008839,0.008461,0.007422,0.007813,0.007090,0.006569,0.006121,0.005983,0.006441,0.006187,0.005964,0.006324,0.006137,0.005754,0.006094,0.005641,0.005513,0.006172,0.006249,0.005836,0.005525,0.113264,0.074824,0.620086,0.085605,0.463240,0.092368,0.267368,0.484203,0.246324,0.057964,0.112851,0.698639,0.135274,0.137297,0.265041,0.453592,0.418256,0.087910,0.245619,0.141928,0.720981,0.164967,0.204385,0.338282,0.353990,0.173765,0.246554,0.377437,0.258580,0.271204,0.144526,0.626031,0.126941,0.190051,0.358175,0.351853,0.117156,0.219568,0.554960,0.321458,0.253825,0.323474,0.398710,0.425857,0.131766,0.317121,0.164755,0.408828,0.362565,0.362674,0.365084,0.332462,0.295388,0.333306,0.332262,0.507626,0.399981,0.187536,0.597827,0.110331,0.150897,0.152946,0.145016,0.147856,0.422939,0.666162,0.384570,0.165646,0.172362,0.280419,0.243780,0.111277,0.390045,0.171717,0.492545,0.448575,0.271174,0.206600,0.272754,0.233468,0.359773,0.039194,17.803417,0.963016,1.068299,1.109326,0.778969,0.627972
3,3396,0.797588,0.765225,0.816417,152106.229709,88,75,4830.705190,249.410380,0.442078,65.756532,0.514545,3.225694,2.566095,3.957110,73.427178,65.862457,14.096383,417.096500,0.869361,20718957.248357,39.523256,86,78,0.703003,19163.115761,88.088743,73.291363,0.179007,0.000376,0.000087,0.000019,-0.000000,0.000000,0.000000,1,1.886551,0.677289,0.731548,-0.257737,3396.000000,152106.229709,4830.705190,249.410380,73.427178,65.862457,417.096500,19163.115761,62.638338,58.107774,6.463090,0.056906,5.916412,0.016620,0.014526,0.021798,0.022661,0.022066,0.021991,0.024539,0.024321,0.024857,0.025366,0.019950,0.021509,0.028830,0.019781,0.030488,0.029699,0.039116,0.035526,0.027041,0.022155,0.020909,0.024419,0.022587,0.026474,0.024940,0.021971,0.033607,0.029344,0.028621,0.023968,0.017667,0.013292,0.011549,0.011535,0.014592,0.016800,0.021162,0.013164,0.014914,0.012067,0.010296,0.009629,0.011171,0.015590,0.018837,0.016625,0.012790,0.013820,0.011440,5.063538,3.011932,0.611436,0.201986,0.165224,0.142591,0.113917,0.074137,0.072149,0.066953,0.043728,0.036152,0.031645,0.025604,0.027065,0.029729,0.027532,0.021760,0.017525,0.016001,0.015333,0.014518,0.015274,0.013194,0.011166,0.010548,0.009907,0.008764,0.008631,0.007440,0.007412,0.007323,0.007292,0.007661,0.006596,0.006440,0.005882,0.006328,0.006772,0.006102,0.005961,0.006109,0.006136,0.006187,0.006166,0.005776,0.005148,0.005741,0.005850,0.005973,0.107682,0.089968,0.697613,0.084948,0.475727,0.069993,0.231469,0.346215,0.285955,0.081725,0.091760,0.713595,0.066079,0.119719,0.299191,0.470288,0.340250,0.174721,0.223593,0.090536,0.736719,0.087148,0.228228,0.380152,0.340864,0.087919,0.266340,0.361684,0.350499,0.184888,0.110022,0.673349,0.091187,0.114482,0.157238,0.447773,0.347433,0.435113,0.355038,0.373387,0.257215,0.412554,0.171363,0.180840,0.355058,0.348162,0.118451,0.230581,0.428513,0.497284,0.436986,0.139979,0.103130,0.399353,0.297878,0.507509,0.318525,0.133041,0.695465,0.100632,0.114657,0.106234,0.127724,0.223312,0.526264,0.659415,0.410899,0.113707,0.100765,0.114545,0.146013,0.109493,0.403278,0.170341,0.498099,0.519792,0.268726,0.122385,0.128594,0.169882,0.396831,0.019521,8.142001,0.648477,0.795517,1.226747,0.597968,0.506708
4,693,0.867244,0.670996,0.865801,17360.179204,38,27,750.998950,99.997899,0.799645,29.704461,0.675439,1.941437,4.213071,1.625178,38.855586,23.331747,67.169913,105.740115,0.836272,5773490.444033,26.653846,26,39,0.922771,3697.561877,39.924902,25.685793,0.184989,0.007559,0.000400,0.000039,0.000000,0.000003,0.000000,1,2.192730,0.633718,0.674141,-0.141413,693.000000,17360.179204,750.998950,99.997899,38.855586,23.331747,105.740115,3697.561877,75.015311,134.138528,6.589601,0.079648,-0.804878,0.013262,0.010325,0.012152,0.011324,0.013486,0.012298,0.012143,0.012758,0.015747,0.017648,0.015801,0.018366,0.019282,0.012391,0.018285,0.017345,0.021584,0.020703,0.017930,0.018062,0.025025,0.034599,0.034638,0.042122,0.032660,0.036675,0.045101,0.039324,0.039407,0.027087,0.024265,0.025756,0.031905,0.035056,0.027075,0.025247,0.029839,0.019145,0.021959,0.014820,0.013775,0.012925,0.011803,0.010881,0.010124,0.009806,0.007988,0.007483,0.005878,0.958687,1.898552,1.902856,1.074079,0.479222,0.166516,0.131570,0.107718,0.082560,0.051962,0.043701,0.036310,0.037319,0.031754,0.022282,0.018136,0.020350,0.017429,0.013872,0.012002,0.012518,0.011263,0.009655,0.009488,0.009035,0.007627,0.007730,0.008234,0.008230,0.006647,0.006323,0.006383,0.005855,0.005513,0.005173,0.005203,0.005796,0.005209,0.004424,0.004365,0.004275,0.004793,0.004713,0.003967,0.004090,0.004449,0.004093,0.003820,0.003870,0.004123,0.054718,0.060341,0.817214,0.092727,0.513438,0.091595,0.111012,0.143088,0.110092,0.108697,0.144669,0.913268,0.055603,0.087552,0.199101,0.212201,0.146606,0.127570,0.256661,0.158879,0.876925,0.044110,0.081808,0.158074,0.145426,0.048717,0.287638,0.212549,0.335808,0.123598,0.089286,0.824727,0.154055,0.161281,0.240306,0.176458,0.292791,0.448146,0.447104,0.124695,0.218823,0.455766,0.348906,0.290120,0.190983,0.385362,0.202593,0.452432,0.143324,0.212767,0.430210,0.294179,0.137714,0.499354,0.191051,0.360168,0.146882,0.074293,0.861669,0.131026,0.163088,0.126367,0.066877,0.250570,0.482845,0.573837,0.156220,0.209492,0.352712,0.302565,0.280323,0.109355,0.463063,0.141231,0.504368,0.172246,0.190041,0.278336,0.197658,0.217836,0.530527,0.061980,6.553804,2.592374,2.170078,0.837101,0.945695,0.683432
5,1845,0.911063,0.850325,0.915401,66901.524555,72,45,2166.833004,176.666008,0.648685,48.467793,0.569444,3.026733,4.679806,2.579637,56.710040,43.159593,78.828613,191.509668,0.892865,9479392.144211,41.909091,44,72,0.851473,9630.657153,72.337276,44.628387,0.171952,0.002099,0.000071,0.000049,0.000000,0.000002,0.000000,1,2.174381,0.665323,0.705732,-0.117665,1845.000000,66901.524555,2166.833004,176.666008,56.710040,43.159593,191.509668,9630.657153,71.964784,106.696477,6.989282,0.073770,2.311122,0.009541,0.007444,0.009957,0.011399,0.013837,0.015123,0.016535,0.015199,0.019399,0.019916,0.018480,0.022888,0.024938,0.014687,0.018485,0.017007,0.023055,0.020880,0.015821,0.021724,0.030448,0.038690,0.044990,0.050319,0.040203,0.039268,0.034809,0.030952,0.030092,0.024406,0.021123,0.021282,0.025696,0.027470,0.023407,0.028444,0.031864,0.020850,0.019853,0.012089,0.012920,0.010571,0.008789,0.007685,0.008084,0.008754,0.007584,0.007098,0.005489,3.649307,4.660155,2.056104,0.606013,0.285759,0.143758,0.133569,0.097665,0.070739,0.052800,0.049605,0.042883,0.036674,0.029346,0.027035,0.024265,0.023152,0.019848,0.017502,0.015167,0.014950,0.013808,0.012913,0.010732,0.010737,0.010122,0.009369,0.008091,0.007717,0.007539,0.006820,0.006545,0.006151,0.005902,0.005721,0.005432,0.005411,0.005293,0.004722,0.004854,0.004955,0.004586,0.004555,0.004683,0.004887,0.004680,0.004380,0.004768,0.004971,0.005049,0.072618,0.072430,0.770221,0.084476,0.468930,0.070185,0.148647,0.330248,0.181994,0.075585,0.080623,0.807563,0.125780,0.096780,0.268177,0.328639,0.324499,0.158803,0.253287,0.109988,0.822736,0.142833,0.123958,0.270078,0.271843,0.084419,0.238996,0.315797,0.410575,0.104266,0.089828,0.714590,0.086930,0.165746,0.296306,0.281590,0.279146,0.398410,0.306492,0.358910,0.273301,0.462647,0.317879,0.308605,0.235737,0.355588,0.135970,0.375615,0.377377,0.294520,0.441585,0.295903,0.193210,0.406128,0.285879,0.521062,0.152804,0.104684,0.758103,0.082963,0.103907,0.107523,0.092177,0.241944,0.618641,0.508704,0.336040,0.220543,0.239564,0.245083,0.119448,0.081716,0.325677,0.216349,0.556983,0.344010,0.222377,0.243639,0.296405,0.210246,0.421522,0.050305,9.633978,1.814134,1.546158,0.852284,0.922491,0.582071
6,1996,0.957436,0.919880,0.975463,71017.141831,53,49,2052.061380,159.122760,0.445626,50.412163,0.768579,0.736328,1.863719,0.556569,53.339877,47.750883,71.386682,167.195959,0.914076,8495685.959652,40.755102,49,54,0.972680,8918.832872,54.999858,48.677807,0.160406,0.000313,0.000007,0.000000,-0.000000,-0.000000,-0.000000,1,1.970694,0.629458,0.696823,-0.490919,1996.000000,71017.141831,2052.061380,159.122760,53.339877,47.750883,167.195959,8918.832872,68.252610,103.356212,7.087966,0.066851,1.730980,0.008781,0.017643,0.022250,0.021427,0.022965,0.022440,0.024418,0.025790,0.027244,0.022906,0.016623,0.017545,0.016238,0.010794,0.016836,0.013666,0.017559,0.019611,0.022724,0.028551,0.032765,0.037652,0.033006,0.033178,0.025684,0.022121,0.025417,0.023545,0.024882,0.019610,0.019048,0.018759,0.021991,0.024216,0.022091,0.027685,0.029399,0.019826,0.024267,0.016473,0.014769,0.012021,0.010658,0.009956,0.010126,0.012038,0.012372,0.014804,0.014411,4.923304,5.757689,2.283513,0.540953,0.287884,0.192324,0.139995,0.082813,0.068379,0.059842,0.048379,0.033846,0.032897,0.027408,0.025646,0.018234,0.019577,0.016717,0.015295,0.011714,0.012793,0.010965,0.010568,0.008490,0.009340,0.008226,0.008078,0.006965,0.007692,0.006763,0.006867,0.005856,0.006137,0.005953,0.005410,0.005223,0.005626,0.005296,0.004707,0.004914,0.005014,0.004904,0.004560,0.004817,0.004704,0.004393,0.004632,0.005162,0.004933,0.004582,0.103949,0.063784,0.742414,0.111044,0.492581,0.063106,0.125208,0.335448,0.216320,0.096434,0.114007,0.779258,0.074932,0.092385,0.325591,0.341590,0.309713,0.194149,0.232793,0.140831,0.777156,0.047779,0.122391,0.358917,0.305430,0.051114,0.282872,0.376127,0.267745,0.171230,0.115790,0.698723,0.098595,0.187855,0.299387,0.348216,0.332939,0.351992,0.375539,0.187052,0.234947,0.489128,0.376868,0.264895,0.287383,0.368538,0.230199,0.335275,0.212752,0.323038,0.549544,0.337377,0.101772,0.350686,0.321960,0.480547,0.151280,0.099906,0.754605,0.122596,0.152987,0.101840,0.119637,0.289381,0.535738,0.597129,0.259788,0.202597,0.187200,0.316947,0.128796,0.109799,0.423216,0.215493,0.599799,0.315911,0.250247,0.164497,0.300107,0.151054,0.335151,0.071402,11.938088,3.348589,2.531098,0.755870,0.951714,0.754724
7,31703,0.098353,0.049871,0.823734,893334.300437,575,310,132747.284319,1471.568637,0.901918,200.911705,0.177857,85.757803,119.999883,6.357001,767.322567,331.412652,86.890945,1950.334270,0.941808,80814258.829618,35.890823,296,577,0.238822,100829.753014,576.598857,296.386495,1.377228,0.891480,1.027218,0.157649,-0.057064,-0.139919,0.027721,1,1.790754,1.296221,1.254529,0.136944,31703.000000,893334.300437,132747.284319,1471.568637,767.322567,331.412652,1950.334270,100829.753014,65.635974,148.091032,5.666984,0.062136,-3.109516,0.023357,0.010767,0.012971,0.012274,0.018539,0.025379,0.024640,0.019314,0.022848,0.027961,0.021851,0.022035,0.020820,0.017006,0.020009,0.014027,0.019092,0.029772,0.025764,0.021357,0.023448,0.028529,0.028764,0.028086,0.015606,0.016334,0.020750,0.023960,0.027463,0.017869,0.018261,0.018005,0.019027,0.020235,0.020496,0.020970,0.021547,0.016727,0.028185,0.028954,0.024722,0.019490,0.015853,0.017517,0.015900,0.021251,0.021476,0.021630,0.012517,11.424191,3.806712,0.354740,0.482742,0.293977,0.117314,0.146355,0.081462,0.071395,0.054996,0.053771,0.037804,0.031532,0.035176,0.021895,0.022527,0.023777,0.016258,0.017666,0.016172,0.014748,0.012758,0.013217,0.011273,0.010328,0.010915,0.008650,0.008949,0.008973,0.007702,0.007805,0.007941,0.007048,0.006910,0.007361,0.006220,0.006296,0.006657,0.005557,0.005840,0.006015,0.005525,0.005723,0.005682,0.005445,0.005673,0.005681,0.005487,0.005455,0.005481,0.240526,0.221309,0.645967,0.210267,0.484106,0.260003,0.213890,0.213804,0.195609,0.203680,0.225738,0.758635,0.237775,0.248638,0.238199,0.236392,0.243827,0.203961,0.301284,0.223269,0.674312,0.254716,0.260616,0.212448,0.229143,0.231701,0.347211,0.321651,0.308702,0.278949,0.235270,0.563399,0.400308,0.279168,0.237740,0.236555,0.287361,0.335884,0.346598,0.337712,0.341862,0.342373,0.336038,0.366978,0.297895,0.333275,0.234690,0.286306,0.409196,0.312161,0.242001,0.244192,0.372129,0.479913,0.261821,0.400223,0.335995,0.208858,0.470448,0.387201,0.382379,0.237984,0.201648,0.193241,0.350801,0.499810,0.263933,0.207103,0.274004,0.436539,0.417701,0.192656,0.273374,0.223576,0.439759,0.372105,0.231363,0.206902,0.305918,0.467173,0.367772,0.008335,16.255162,18.876806,1.399288,0.074127,0.754521,0.185618
8,3950,0.884235,0.842352,0.869407,99354.790463,101,78,5744.572360,298.144719,0.714042,70.917531,0.501396,2.733690,3.892411,2.985238,92.497199,64.757520,51.202834,353.634560,0.908394,17398223.914472,32.040618,85,103,0.687606,12715.397465,121.016418,75.138188,0.201678,0.004762,0.000172,0.000082,0.000000,0.000006,0.000000,1,2.378689,0.688904,0.725888,-0.011017,3950.000000,99354.790463,5744.572360,298.144719,92.497199,64.757520,353.634560,12715.397465,67.350637,97.425823,7.157787,0.065210,2.100177,0.008219,0.018132,0.021742,0.018317,0.018574,0.016936,0.016485,0.015938,0.017643,0.014203,0.008709,0.007371,0.011359,0.008933,0.011344,0.009935,0.012737,0.015020,0.016539,0.019177,0.030207,0.049765,0.058599,0.064136,0.030696,0.013162,0.021335,0.019814,0.018672,0.018957,0.020869,0.020605,0.017352,0.023931,0.022986,0.028923,0.032920,0.020713,0.022235,0.014496,0.017054,0.018880,0.020724,0.024675,0.020507,0.019736,0.017714,0.018218,0.013025,7.097145,3.778407,1.165672,0.362272,0.364570,0.164384,0.123144,0.101659,0.058623,0.054241,0.042888,0.036971,0.038312,0.032367,0.025225,0.020569,0.018838,0.016835,0.014095,0.013617,0.012290,0.011981,0.011973,0.009949,0.008820,0.008688,0.007867,0.008531,0.008348,0.006308,0.007084,0.005952,0.006474,0.006669,0.006513,0.005635,0.005710,0.004802,0.004548,0.004816,0.005057,0.005297,0.005630,0.005213,0.005077,0.004958,0.004569,0.004743,0.004453,0.004292,0.199160,0.174074,0.694286,0.074999,0.480955,0.149041,0.383738,0.154430,0.133190,0.182871,0.181437,0.709065,0.119454,0.206375,0.211603,0.508022,0.234126,0.127782,0.283384,0.149940,0.756292,0.144063,0.241567,0.189710,0.269644,0.197607,0.313652,0.494593,0.308079,0.168631,0.108775,0.686761,0.150959,0.227834,0.161172,0.218816,0.475698,0.326923,0.294446,0.210419,0.442206,0.374381,0.342001,0.183333,0.222651,0.396834,0.210502,0.251376,0.220862,0.459228,0.459993,0.255797,0.124419,0.427604,0.381218,0.281434,0.299034,0.168038,0.761765,0.134698,0.135085,0.122381,0.161720,0.349413,0.399661,0.646230,0.194259,0.270662,0.270197,0.270409,0.149463,0.145278,0.372490,0.356036,0.504524,0.151341,0.246384,0.404911,0.281829,0.131397,0.368361,0.031585,11.169723,1.303886,1.423867,1.092018,0.843087,0.439063
9,1970,0.758253,0.641442,0.732859,31244.657388,75,50,2497.458026,190.916053,0.759150,50.082751,0.525333,3.573681,5.188169,3.461547,67.196893,43.739496,-64.130117,261.829473,0.849512,14646311.944636,20.216356,48,74,0.788802,6368.454399,78.158649,48.540610,0.203848,0.006809,0.000172,0.000109,0.000000,0.000007,0.000000,1,2.245076,0.650830,0.659212,0.075431,1970.000000,31244.657388,2497.458026,190.916053,67.196893,43.739496,261.829473,6368.454399,72.445802,83.807107,6.882975,0.074685,4.508024,0.011181,0.009182,0.012487,0.011375,0.012786,0.011385,0.012604,0.013841,0.015586,0.018240,0.019057,0.024618,0.028151,0.016876,0.024122,0.021694,0.025599,0.023777,0.024983,0.032306,0.038249,0.040875,0.039259,0.048684,0.041593,0.052458,0.058466,0.053821,0.040818,0.019818,0.014644,0.014880,0.016690,0.016076,0.011480,0.010830,0.011831,0.008510,0.011923,0.011257,0.011283,0.010584,0.009049,0.007646,0.007882,0.009225,0.008676,0.008670,0.006153,2.651645,2.677685,1.157497,0.375029,0.242660,0.205159,0.176617,0.086939,0.069816,0.050150,0.038614,0.033036,0.026714,0.024719,0.026675,0.019903,0.015887,0.013806,0.013860,0.011914,0.011404,0.010795,0.009977,0.010344,0.008712,0.008141,0.007774,0.006982,0.006210,0.006489,0.006309,0.005810,0.005577,0.005493,0.005955,0.006118,0.005397,0.004832,0.005009,0.004566,0.004236,0.004295,0.004917,0.005114,0.004372,0.004640,0.004059,0.003997,0.003974,0.004086,0.053590,0.073238,0.766384,0.143783,0.431153,0.044899,0.097277,0.372980,0.217392,0.049821,0.102825,0.763909,0.148274,0.183575,0.144929,0.319816,0.424609,0.210056,0.254422,0.123229,0.777430,0.123856,0.232323,0.201898,0.335977,0.157541,0.260592,0.112607,0.439216,0.391294,0.159865,0.585817,0.071438,0.140819,0.358842,0.344757,0.099473,0.405454,0.580156,0.388067,0.249863,0.128747,0.147891,0.365908,0.322126,0.359117,0.129929,0.468272,0.497516,0.363711,0.220568,0.148216,0.212104,0.373442,0.101984,0.504558,0.355130,0.094190,0.660334,0.136863,0.242361,0.261310,0.135037,0.103489,0.520500,0.641272,0.362433,0.093079,0.122099,0.237642,0.281189,0.129107,0.419752,0.157233,0.565169,0.475428,0.130779,0.134255,0.176869,0.217822,0.373872,0.028736,7.523981,1.498801,1.451772,0.968622,0.729162,0.554336
10,4492,0.786637,0.636303,0.803563,119974.173189,101,69,5602.091282,279.182563,0.758490,75.626662,0.644569,5.107675,7.530902,4.707298,99.889290,65.096309,-83.234114,354.747258,0.902973,30174487.862565,34.020078,71,102,0.801843,14422.954234,104.921098,68.710252,0.415369,0.120295,0.014937,0.009929,0.000121,0.003409,-0.000002,2,2.163877,0.640987,0.662331,-0.063259,6512.000000,153568.421712,8275.694777,477.389554,176.623222,102.873158,597.440692,20956.081026,65.152816,130.450092,6.994290,0.061280,-0.443896,0.008649,0.008992,0.011750,0.012874,0.013384,0.012685,0.013813,0.017966,0.023640,0.024298,0.018448,0.021902,0.025804,0.017313,0.022828,0.023071,0.022940,0.029146,0.028512,0.030146,0.039687,0.038416,0.028372,0.021730,0.017407,0.020863,0.049664,0.044049,0.047539,0.027379,0.017262,0.017670,0.022884,0.026308,0.018528,0.020415,0.022155,0.012480,0.016556,0.013465,0.013303,0.012369,0.010883,0.010109,0.010265,0.012296,0.011176,0.009906,0.007353,6.172705,3.585748,1.473880,0.486439,0.276920,0.186996,0.117523,0.081124,0.074321,0.049911,0.046073,0.035806,0.033854,0.026575,0.023002,0.018069,0.019233,0.019431,0.016259,0.012909,0.012464,0.011634,0.011557,0.010511,0.010070,0.009077,0.008373,0.007521,0.007790,0.007034,0.007084,0.006684,0.006397,0.006745,0.006387,0.005725,0.005662,0.005715,0.005915,0.005307,0.005227,0.005424,0.005419,0.005027,0.004931,0.005178,0.005131,0.005002,0.004590,0.004757,0.132693,0.150225,0.850174,0.139728,0.323283,0.183051,0.200335,0.138073,0.142433,0.106854,0.210669,0.822149,0.145147,0.085266,0.212364,0.339946,0.224503,0.169914,0.187959,0.226568,0.777341,0.142347,0.100245,0.176796,0.390206,0.221001,0.215426,0.231795,0.239016,0.385227,0.304815,0.577991,0.287534,0.294678,0.245657,0.289652,0.236799,0.382605,0.434389,0.279860,0.148891,0.317410,0.434047,0.323350,0.338605,0.355969,0.384618,0.382200,0.244214,0.225623,0.291547,0.426693,0.266697,0.361299,0.157431,0.197109,0.311160,0.287933,0.731665,0.155041,0.240226,0.290634,0.234710,0.254535,0.501543,0.476703,0.312422,0.178930,0.185357,0.342414,0.325303,0.263382,0.367007,0.411101,0.509988,0.270870,0.201592,0.203385,0.344041,0.240785,0.323259,0.035695,12.662536,1.599835,1.474428,0.921613,0.799058,0.619994
